"","votes","user_id","review_id","stars","date","text","type","business_id"
"11","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","uK8tzraOp4M5u3uYrqIBXg","Di3exaUCFNw1V4kSNW5pgA",5,"2013-11-08","All the food is great here. But the best thing they have is their wings. Their wings are simply fantastic!!  The ""Wet Cajun"" are by the best & most popular.  I also like the seasoned salt wings.  Wing Night is Monday & Wednesday night, $0.75 whole wings!
","review","UsFtqoBl7naz8AVUBZMjQQ"
"12","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","I_47G-R2_egp7ME5u_ltew","0Lua2-PbqEQMjD9r89-asw",3,"2014-03-29","We checked this place out this past Monday for their wing night. We have heard that their wings are great and decided it was finally time to check it out. Their wings are whole wings and crispy, which is a nice change of pace. I got their wet Cajun sauce ","review","UsFtqoBl7naz8AVUBZMjQQ"
"13","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","PP_xoMSYlGr2pb67BbqBdA","7N9j5YbBHBW6qguE5DAeyA",2,"2014-10-29","Wing sauce is like water. Pretty much a lot of butter and some hot sauce (franks red hot maybe).  The whole wings are good size and crispy, but for $1 a wing the sauce could be better. The hot and extra hot are about the same flavor/heat.  The fish sandwi","review","UsFtqoBl7naz8AVUBZMjQQ"
"14","{""funny"":""1"",""useful"":""1"",""cool"":""1""}","JPPhyFE-UE453zA6K0TVgw","mjCJR33jvUNt41iJCxDU_g",4,"2014-11-28","Cold cheap beer. Good bar food. Good service. 

Looking for a great Pittsburgh style fish sandwich, this is the place to go. The breading is light, fish is more than plentiful and a good side of home cut fries. 

Good grilled chicken salads or steak.  Sou","review","UsFtqoBl7naz8AVUBZMjQQ"
"15","{""funny"":""0"",""useful"":""1"",""cool"":""0""}","fhNxoMwwTipzjO8A9LFe8Q","XsA6AojkWjOHA4FmuAb8XQ",3,"2012-08-19","Decent range somewhat close to the city.  The mats are pretty solid; however, the grass range needs to be tended too.  It's like hitting out of US Open type rough...not very amenable to practicing.  Which kind of defeats the purpose of going to a golf ran","review","cE27W9VPgO88Qxe4ol6y_g"
"16","{""funny"":""0"",""useful"":""1"",""cool"":""0""}","-6rEfobYjMxpUWLNxszaxQ","rkD7UDbQ9VM3Va6bI-eBHQ",1,"2013-04-18","Owning a driving range inside the city limits is like a license to print money.  I don't think I ask much out of a driving range.  Decent mats, clean balls and accessible hours.  Hell you need even less people now with the advent of the machine that doles","review","cE27W9VPgO88Qxe4ol6y_g"
"17","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","KZuaJtFindQM9x2ZoMBxcQ","WExNE-f93SL4D1q8s9QWKg",1,"2013-07-14","This place is absolute garbage...  Half of the tees are not available, including all the grass tees.  It is cash only, and they sell the last bucket at 8, despite having lights.  And if you finish even a minute after 8, don't plan on getting a drink.  The","review","cE27W9VPgO88Qxe4ol6y_g"
"18","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","H9E5VejGEsRhwcbOMFknmQ","iS34GJhMkkt9kCoTJLYEwA",4,"2013-08-16","Before I finally made it over to this range I heard the same thing from most people - it's just fine to go work on your swing. I had such a low expectation I was pleasantly surprised. 

It's a fairly big range - if you are familiar with Scally's in Moon, ","review","cE27W9VPgO88Qxe4ol6y_g"
"19","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","ljwgUJowB69klaR8Au-H7g","S-G0D8Cy7PnqShoBZu8PCA",4,"2014-07-11","I drove by yesterday to get a sneak peak.  It re-opens on July 14th and I can't wait to take my kids.  The new range looks amazing.  The entire range appears to be turf, which may or many not help your game, but it looks really nice.  The tee boxes look s","review","cE27W9VPgO88Qxe4ol6y_g"
"20","{""funny"":""3"",""useful"":""7"",""cool"":""7""}","JbAeIYc89Sk8SWmrBCJs9g","fBQ69-NU9ZyTjjS7Tb5tww",5,"2013-06-10","THANK YOU ROB! i truly appreciated all the help i received from this agent today who was able to removed the extra charges on my bill that the Pasadena Verizon Store on Lake was charging me on my bill for upgrading my phone.   When i went in i was having ","review","HZdLhv6COCleJMo7nPl-RA"
"21","{""funny"":""1"",""useful"":""1"",""cool"":""1""}","l_szjd-ken3ma6oHDkTYXg","CFiLh7WvH7dM3qVZvNiacQ",2,"2013-12-23","After waiting for almost 30 minutes to trade in an old phone part of the buy back program, our customer service rep incorrectly processed the transaction. This led to us waiting another 30 minutes for him to correct it. Don't visit this store if you want ","review","HZdLhv6COCleJMo7nPl-RA"
"22","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","zo_soThZw8eVglPbCRNC9A","UzMViMQZuSxOr5wrru3LwQ",4,"2014-09-04","I visited this store several months ago to simply ask about smartphone plans. The agent was pleasant and helpful. I would recommend a visit to this store.","review","HZdLhv6COCleJMo7nPl-RA"
"23","{""funny"":""0"",""useful"":""5"",""cool"":""0""}","LWbYpcangjBMm4KPxZGOKg","6w6gMZ3iBLGcUM4RBIuifQ",5,"2012-12-01","This place was DELICIOUS!!  My parents saw a recommendation to visit this place from Rick Sebak's ""25 Things I Like About Pittsburgh"" and he's usually pretty accurate.  His recommendations were to try the Reuben, Fish Sandwich and Open-Faced Steak Sandwic","review","mVHrayjG3uZ_RLHkLj-AMg"
"24","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","m1FpV3EAeggaAdfPx0hBRQ","jVVv_DA5mCDB6mediuwHAw",5,"2013-03-15","Can't miss stop for the best Fish Sandwich in Pittsburgh.","review","mVHrayjG3uZ_RLHkLj-AMg"
"25","{""funny"":""0"",""useful"":""2"",""cool"":""1""}","8fApIAMHn2MZJFUiCQto5Q","3Es8GsjkssusYgeU6_ZVpQ",5,"2013-03-30","This place should have a lot more reviews - but I'm glad it doesn't, they don't need to get any busier.

Its been there ages, and looks it. If you're all about ambiance, don't bother. If you pretend you're in a movie set in Pittsburgh 30 years ago it work","review","mVHrayjG3uZ_RLHkLj-AMg"
"26","{""funny"":""0"",""useful"":""1"",""cool"":""0""}","uK8tzraOp4M5u3uYrqIBXg","KAkcn7oQP1xX8KsZ-XmktA",4,"2013-10-20","This place was very good. I found out about Emil's when watching a show called ""25 Things I Love About Pittsburgh"" on WQED hosted by Rick Seback. This place ain't a luxurious restaurant...it's a beer & a shot bar / lounge. But the people are friendly & th","review","mVHrayjG3uZ_RLHkLj-AMg"
"27","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","6wvlM5L4_EroGXbnb_92xQ","BZNJkkP0bXnwQ2-sCqat2Q",5,"2013-11-07","Old school.....traditional ""mom 'n pop"" quality and perfection. The best fish and chips you'll ever enjoy and equally superb fried shrimp. A great out of the way, non-corporate, vestige of Americana. You will love it.","review","mVHrayjG3uZ_RLHkLj-AMg"
"28","{""funny"":""0"",""useful"":""2"",""cool"":""1""}","345nDw0oC-jOcglqxmzweQ","VDTIbR3G5_IPkpXbo2MutA",5,"2014-03-22","Seen this restaurant on 25 best places in Pittsburgh with Rick Seback
ack. Went there with my girlfriend she grew up with the owner. She's very nice all employees are super nice service was excellent i had the fish sandwich my girlfriend had the Ruben mor","review","mVHrayjG3uZ_RLHkLj-AMg"
"29","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","u9ULAsnYTdYH65Haj5LMSw","5uyYmniYyIB_wtKtyXDudQ",4,"2014-09-29","Wonderful reuben.  Map shown on Yelp page is incorrect. It is actually a different Hawkins.  I'd recommend a call for directions 412-271-9911.","review","mVHrayjG3uZ_RLHkLj-AMg"
"30","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","pdHC0oAcG7gNdhuFRAUu0Q","zyn_Libz9VZTZ--OdC4-tQ",5,"2014-09-29","Good fish sandwich.","review","mVHrayjG3uZ_RLHkLj-AMg"
"31","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","tAKjY3bQXH51msJbOHYPmQ","uf61rPucuICXhSPXlZ1hIQ",5,"2014-11-03","After a morning of Thrift Store hunting, a friend and I were thinking of lunch, and he suggested Emil's after he'd seen Chris Sebak do a bit on it and had tried it a time or two before, and I had not. He said they had a decent Reuben, but to be prepared t","review","mVHrayjG3uZ_RLHkLj-AMg"
"32","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","Kq8-FUG7d_MT2qRNiNBJnA","xY2gjy49dnpQSB2RTZzqCw",4,"2014-12-18","This is a hidden gem, no really. It took us forever to find but well worth it. It is right across the street from the Rankin Police Station. The menu has a wide selection, I really couldn't decide what I wanted but I went with the ribeye sandwich. I'm gla","review","mVHrayjG3uZ_RLHkLj-AMg"
"33","{""funny"":""2"",""useful"":""2"",""cool"":""2""}","ay9H1RpjbBkaiXGxfh7LaA","v_uEDbK5fP1UJpkXNPwXpQ",4,"2010-10-11","This would be my local haunt, if I were ever to relocate to the Pittsburgh area. What a great little place! Such friendly staff, and some damn good eats!
 
It was so great, that we actually went there twice during our 4-day vacation to catch the Steelers/","review","KayYbHCt-RkbGcPdGOThNg"
"34","{""funny"":""1"",""useful"":""0"",""cool"":""1""}","JbWnXwjLaO1kncUkQOMajg","j8GuxQJ_DQsSfrJNkmcACA",4,"2011-02-27","A great townie bar with tasty food and an interesting clientele. I went to check this place out on the way home from the airport one Friday night and it didn't disappoint. It is refreshing to walk into a townie bar and not feel like the music stops and ev","review","KayYbHCt-RkbGcPdGOThNg"
"35","{""funny"":""0"",""useful"":""0"",""cool"":""1""}","4-3IU5uUH90m21TWbZhhnA","2xCds3bp0wM6nHMz3H65vg",4,"2011-08-15","Alexion's has been around forever.  The first time I went in there, I was 19 years old on summer break from college and working at the ice cream factory up the hill.  All of the union guys from the ice cream factory went in there after work, and I immedia","review","KayYbHCt-RkbGcPdGOThNg"
"36","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","bcwr1bFov3PSa1FiGfpc9g","UrukGX1emhSRe2fGdxdVPA",3,"2011-12-22","Good for cheap drinks and wings, they offer daily specials which is nice. 

Doesnt look like much from outside but the inside is friendly enough, the bartenders have been there for awhile and do a good job. Dont expect to have a HUGE selection of alcohol.","review","KayYbHCt-RkbGcPdGOThNg"
"37","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","Sjb5e5-gKoLXueFDMc2R8Q","2_Ru_ASf75kU303rdQjFfQ",4,"2013-04-25","What a cool bar/restaurant.. I will no doubt be visiting again.  The service and prices were great.. and the restrooms were clean.   I had the buffalo chicken sandwich and it was delicious.  The menu consists of typical bar food food, however; theres a fe","review","KayYbHCt-RkbGcPdGOThNg"
"38","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","tnArVArlj5usJLZbq9ydbQ","OZ_2Ss5H2bNxnYEcEZC0fA",5,"2013-04-29","Awesome drink specials during happy hour. Fantastic wings that are crispy and delicious, wing night on Tuesday and Thursday!","review","KayYbHCt-RkbGcPdGOThNg"
"39","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","W_NfPGdpM0286WBDNSvY5g","PUY1KIrW0BY9ENb3bfv2iQ",3,"2013-09-17","Good beer selection. Understaffed for a light Monday night crowd, it wasn't her fault she was the only server. But it took about an hour to get our sandwiches. Mine was one of the best reubens I've ever had.","review","KayYbHCt-RkbGcPdGOThNg"
"40","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","h-A_xNeB_xSbc0psqHyoJg","0klMyorClST8NYGJqArzPQ",5,"2014-02-16","Grew up near here. the family would always go once a month. Haven't stopped in for a few years until last Friday with a few friends to grab a drink. The sandwiches are always amazing just as I remember. The staff is amazing and friendly. Great place for l","review","KayYbHCt-RkbGcPdGOThNg"
"41","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","GcBAIs4pzeK6OzHpawgZlg","UVx5-SD8RyZu3NPRU5GwZg",2,"2014-03-13","Very disappointed in the customer service. We ordered Reuben's  and wanted coleslaw instead of kraut. They charged us $3.00 for the coleslaw. We will not be back . The iced tea is also terrible tasting.","review","KayYbHCt-RkbGcPdGOThNg"
"42","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","tkYwzVUMztdjNuqsNhAP5A","alwn7y-xR9ZN-q4_e-n9OA",5,"2014-06-27","Let there be no question: Alexions owns the best cheeseburger in the region and they have now for decades. Try a burger on Italian bread. The service is flawlessly friendly, the food is amazing, and the wings? Oh the wings... but it's still about the chee","review","KayYbHCt-RkbGcPdGOThNg"
"43","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","qswY4Psj6SdtwJABNx0eng","ElQikklZunCiyaOKR4hEaw",5,"2014-07-21","The sandwiches, the wings, enough said. Alexions can best be described as a home-style Primantis before they went mega commercial. You really can't go wrong, but for my money, I would put Alexions fish sandwich up with the best I've had. That's not to tak","review","KayYbHCt-RkbGcPdGOThNg"
"44","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","udy8pMNA09YDs98e51wXZQ","1yRSd1j8gamtcUN9lSZ3Uw",3,"2014-08-08","We met a couple of friends there on a Friday afternoon about 440 pm, based on the Yelp reviews. I've relied on Yelp in over a dozen different cities, never came away with anything less than a positive experience until today. 

We ordered within 5 minutes ","review","KayYbHCt-RkbGcPdGOThNg"
"45","{""funny"":""0"",""useful"":""1"",""cool"":""0""}","xzie68uK2ViI0ddnLHw1tw","N1O_3yeUB0nn3otEJc88tA",1,"2012-12-14","Used to go there for tires, brakes, etc.  Their prices have gone way up-$400 for 4 mid-level tires for a Toyota.  Plus, 1 of the new tires went flat within 3 weeks.  Since they don""t make appointments,  the wait to get the tire looked at was ~2 hours.  So","review","b12U9TFESStdy7CsTtcOeg"
"46","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","trYPAmnPz6ChpIgx0jGbyg","DuTV6MVj5qjTJTlpwlUsBw",1,"2013-03-21","I got 'new' tires from them and within two weeks got a flat. I took my car to a local mechanic to see if i could get the hole patched, but they said the reason I had a flat was because the previous patch had blown - WAIT, WHAT? I just got the tire and nev","review","b12U9TFESStdy7CsTtcOeg"
"47","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","XTp6S7yXL7HluVUaBYdbyQ","8rZtuT8USrLQIu5k4LPFKw",1,"2013-09-27","Terrible. Preordered my tires and when I arrived they couldn't find the order anywhere. Once we got through that process I waited over 2 hours for them to be put on... I was originally told it would take 30 mins. Slow, over priced, I'll go elsewhere next ","review","b12U9TFESStdy7CsTtcOeg"
"48","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","RsaEvod4EOBYIdbRBBv0sw","ap4IaJaTlj_txbJe99D6oQ",4,"2014-02-20","Contrary to other reviews, I have zero complaints about the service or the prices. I have been getting tire service here for the past 5 years now, and compared to my experience with places like Pep Boys, these guys are experienced and know what they're do","review","b12U9TFESStdy7CsTtcOeg"
"49","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","5noqL9IulqZx326u6eg4Rw","Yip27oh0XMK0_1C3bN_DNA",1,"2014-02-27","Last summer I had an appointment to get new tires and had to wait a super long time. I also went in this week for them to fix a minor problem with a tire they put on. They ""fixed"" it for free, and the very next morning I had the same issue. I called to co","review","b12U9TFESStdy7CsTtcOeg"
"50","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","072tu2_MFWmw-jb1O6DQYg","kNAhHVuUzbYt0UG9QqwaCQ",4,"2010-03-24","Most random location for a mini golf course ever.  This is old school. It's built into the woods (spray yourself for bugs first) right off Forsythe Rd near Carnegie Park.  The candy hut is fun to spend your spare change.  They recently re-carpeted the hol","review","Sktj1eHQFuVa-M4bgnEh8g"
"51","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","5eR_TeDFbOmv28MoRwH-lw","apM_3NdKNQjIjRLeFN7vOQ",4,"2011-02-25","This quaint mini golf course is one of the oldest, yet most original and fun locations that I have yet visited.  Coming from Texas, it was nice to see a course located amongst the hilly and woody Pennsylvanian terrain. It can be frustrating that it is lit","review","Sktj1eHQFuVa-M4bgnEh8g"
"52","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","4cW3iQW6JD1C8VxYP0eyXg","dBkNFAmn9RcRGac4o62lpA",4,"2012-10-25","I think this place is closed. Their number is out of service, sign is gone and the course has not been maintained. Awesome woodsy mess of a course though!","review","Sktj1eHQFuVa-M4bgnEh8g"
"53","{""funny"":""0"",""useful"":""1"",""cool"":""0""}","4cW3iQW6JD1C8VxYP0eyXg","o5J7NoSEA-PvkcpMuQn8kg",4,"2012-10-29","I've been informed by a fellow Yelper that they are just closed for the season, I hope they're right! I find it strange they don't keep their phone number in service with a recording and that they didn't cover the course up to protect it from weather, van","review","Sktj1eHQFuVa-M4bgnEh8g"
"54","{""funny"":""0"",""useful"":""1"",""cool"":""0""}","BNiS6iuXJHMqTyuKQgyHYQ","5q5h76tiVrgn5ElyZzpx9Q",1,"2014-07-17","Don't waste your time.  We had two different people come to our house to give us estimates for a deck (one of them the OWNER).  Both times, we never heard from them.  Not a call, not the estimate, nothing.","review","3ZVKmuK2l7uXPE6lXY4Dbg"
"55","{""funny"":""1"",""useful"":""12"",""cool"":""4""}","nEYPahVwXGD2Pjvgkm7QqQ","nkquD2FJgZvyj3bcobqlrg",2,"2014-08-06","I will start by saying we have a nice new deck. That is where the good part ends.

Why two stars if we have a nice deck now? Well, it all started in May when we had a man named Al come out and talk to us about the process. He was a true salesman, I'll tel","review","3ZVKmuK2l7uXPE6lXY4Dbg"
"56","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","Z2HWwo5mIEc8SIVZH0IlfQ","DJlSJTPwrPJuxnxPbWBDnQ",4,"2014-10-20","When I wanted a deck for the back of my home I ended up calling Quaker State Construction. It ended up working very well and they were very polite. I got an estimate and called them to start working out the details of my new deck. Once we got the plans al","review","3ZVKmuK2l7uXPE6lXY4Dbg"
"57","{""funny"":""1"",""useful"":""2"",""cool"":""3""}","T_wjLgPOPXry7Bea4MzoVQ","XW_RwDoN9StbDt0Y1pc3VA",3,"2009-12-10","I have never seen a restaurant that has a frowning brownie (a.k.a. Frownie) as their icon, mascot, or spokesperson.  King's Family Restaurant has surprised me with this.  I think it might be in direct dialogue with Eat N' Parks smiling cookie -- funny (fu","review","wJr6kSA5dchdgOdwH6dZ2w"
"58","{""funny"":""1"",""useful"":""1"",""cool"":""0""}","LaPatM6c289ClpysmzZpdQ","LOqF4d657XomJGRKpFKlhg",3,"2010-01-03","So... back in the late 90s, there used to be this super-kick-ass cinnamon ice cream, like an apple pie ice cream without the apples or the pie crust.  SO DELICIOUS!

However, NOW there is some shit-tastic replacement that tastes like vanilla ice cream wit","review","wJr6kSA5dchdgOdwH6dZ2w"
"59","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","vGI3dbg5zFRXBg4eVVmGSg","e2YxtsZJE3w6DdNP8yMs7w",4,"2010-11-06","Ive pretty much been eating at various Kings' pretty regularly since I was a child when my parents would take my sister and I into the Fox Chapel location often.  Lately me and my girl have been visiting the Heidelburg location. I love the food, it really","review","wJr6kSA5dchdgOdwH6dZ2w"
"60","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","9MmWbiE7txW_OplDAnoaqA","RRddfCx_goh5UnEIwx9HMA",2,"2011-11-21","Hoofah.","review","wJr6kSA5dchdgOdwH6dZ2w"
"61","{""funny"":""0"",""useful"":""0"",""cool"":""1""}","q7MrNVt1FE23rwtWmPYWHg","bgLHVU09FpJ-uEOFFor6uA",4,"2012-05-30","I heart King's. I've always been a fan and this one was as good as my old one in Monaca.","review","wJr6kSA5dchdgOdwH6dZ2w"
"62","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","7KoVg5QMjYu8taLFSE7hNA","pLkbUd2H5ducEeJPi1BPGw",4,"2014-09-18","I arrived around 10 am on a Saturday morning.  I was greeted by the hostess,who was polite and friendly, and I informed her that I was alone.  She had just arrived, as well, and wasn't exactly sure what was going on yet, so she asked (the manager?) where ","review","wJr6kSA5dchdgOdwH6dZ2w"
"63","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","G4PZXgVGd-6zG9jJBQNl5A","yJFDmUvxlPRdzG7GPSAXKw",5,"2015-01-01","thisis not the closest Kings to us, but we often will travel the extra miles because the service and food at this location is always the best.","review","wJr6kSA5dchdgOdwH6dZ2w"
"64","{""funny"":""0"",""useful"":""2"",""cool"":""0""}","T_wjLgPOPXry7Bea4MzoVQ","Ba193vShA-AKcfLYvaEOnA",2,"2010-01-27","Average run of the mill store.  Associates are young teens and they really don't know where anything is.  Luckily I am able to get around to find everything.  Found my puppy treats and moved on.","review","yXuao0pFz1AxB21vJjDf5w"
"65","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","bvu13GyOUwhEjPum2xjiqQ","bMCvh40U7J1xu3IwuulAPg",3,"2011-03-09","Not bad for a Shop N Save, most are privately owned, so availability of items might differ from place to place. The only time I frequent S n S is when the have their huge two day sales usually held on Thursday and Friday at least once month.

Good bakery ","review","yXuao0pFz1AxB21vJjDf5w"
"66","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","tAKjY3bQXH51msJbOHYPmQ","MsoASFxCmOOkOBOqZ80ngQ",2,"2013-09-01","Two meals, on the recommendation of a friend who lives near the place, and after the second trip, I was compelled to write. 'Rocky' would definitely describe the experiences.

On the first trip, I went to try their (at that time)raved about Reuben. And YE","review","fNGIbpazjTRdXgwRY_NIXA"
"67","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","NwAlaSEjsWiiZlqnBOm1fA","52IK--CFb_PBGD_EPaMcFg",5,"2014-03-06","everything was great!","review","fNGIbpazjTRdXgwRY_NIXA"
"68","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","aOHQ9MlorpvL71Y6qC9v2A","f5WKGxGq-XTHJXPXhrC5Cg",5,"2014-03-21","If you are searching for a go to fish place for Lent....look no further.  This place will give you the best fish sandwich in Pittsburgh.  The sandwich has enough fish to make four sandwiches.  You will not be able to finish this sandwich in one seating.
E","review","fNGIbpazjTRdXgwRY_NIXA"
"69","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","c67-0jrGj8tcW7M7TzqsqQ","H8Q56qgKvI8bfvhVuB6tdQ",4,"2014-07-24","Rocky's has been in business since the 1980s and still going strong.  Their food is good.  Not haute cuisine, pretentious!  Everyday, well prepared and taste bud pleasing home style cooking.  I've mostly gone during supper hours and  and ate in the dining","review","fNGIbpazjTRdXgwRY_NIXA"
"70","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","L_aMQmKqw5TTcWRYGI2CAQ","1C0eSe0umaGzYqck8Uh0WQ",5,"2015-01-06","Italian dinners, American, endless soup and salad bar is great. Most food for your dollar. I highly recommend. Great bar. Good place to watch a game. The bar can get quite noisy in the evenings, but it adds to the great atmosphere at Rocky's","review","fNGIbpazjTRdXgwRY_NIXA"
"71","{""funny"":""0"",""useful"":""2"",""cool"":""1""}","PrMlXX6fbMsJie9ausN41g","Phd_OwFhKQptiVL5Tbl-Lw",3,"2007-03-31","If you want a true understanding of Pittsburgh in the morning, come here. This greasy spoon is always packed, and is one of the better of its kind south of the city.

They serve waffles in halves, which is great. The eggs and toast are good, the homemade ","review","b9WZJp5L1RZr4F1nxclOoQ"
"72","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","FNbm3ycU2BF8C17UFfWzOg","uSoZMwdnhiegEpbXCwWATw",4,"2007-08-02","Good Luck getting a seat, that's all I have to say. The Gab and Eat is famous and infamous. Diner food is what's up and I like it. When I was a roofing mechanic, we'd meet there before work. Although I'm not sure I would recommend it if you're working wer","review","b9WZJp5L1RZr4F1nxclOoQ"
"73","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","EtSjuNdguCE9AcmCOVYqxw","O7qgsnbzKdswwncjdJiyPw",5,"2008-04-12","Stick to basics and this is the best place in or around the 'burgh.  First time go with a friend and sit at the counter.  Short order cooking at it's best, it's like a floor show with the actor's backs to you.  Breakfast has no losers.  Eggs, omelets, pan","review","b9WZJp5L1RZr4F1nxclOoQ"
