"","categories","name","stars","state","total"
"46","[American (Traditional), Restaurants]","[""Juke Joint Bar & Grill"",""Ellis Island Cafe"",""Red Robin"",""Kitty's Cafe"",""Vintner Grill"",""Stewart & Ogden"",""Beach Caf"",""Binion's Original Coffee Shop"",""Tahiti Joe's"",""Village Pub & Poker"",""C R Buns"",""Jake's Filling Station"",""Denny's"",""The Coachman's Inn""",3.12162162162162,"[""NV""]",111
"47","[American (Traditional), Sandwiches, Restaurants]","[""Geri's Olde Philadelphia Restaurant"",""Fresh Grill & Bar"",""Courtyard Cafe"",""Sourdough Cafe""]",3.375,"[""NV""]",4
"48","[American (Traditional), Sandwiches, Salad, Restaurants]","[""Skinny Chick Fat Chicken""]",4,"[""NV""]",1
"49","[American (Traditional), Southern, Restaurants]","[""Ranch House Kitchen""]",2,"[""NV""]",1
"50","[American (Traditional), Steakhouses, Restaurants]","[""Bob Taylor's Ranch House""]",3.5,"[""NV""]",1
"51","[American (Traditional), Steakhouses, Seafood, Restaurants]","[""The Capital Grille"",""N9NE Steakhouse""]",4.25,"[""NV""]",2
"52","[American (Traditional), Sushi Bars, Japanese, Restaurants]","[""Blue Ribbon Sushi Bar and Grill""]",3.5,"[""NV""]",1
"53","[American (Traditional), Tex-Mex, Restaurants]","[""Chili's Grill & Bar""]",3.75,"[""NV""]",2
"54","[Arts & Entertainment, American (New), Arcades, Gastropubs, Restaurants]","[""GameWorks""]",2.5,"[""NV""]",1
"55","[Arts & Entertainment, American (New), Nightlife, Music Venues, Restaurants]","[""MIX 94.1's Bite Of Las Vegas""]",4,"[""NV""]",1
"56","[Arts & Entertainment, American (Traditional), Arcades, Restaurants]","[""Gameworks""]",3,"[""NV""]",1
"57","[Arts & Entertainment, American (Traditional), Bars, Casinos, Nightlife, Restaurants]","[""Boardwalk Hotel & Casino""]",3,"[""NV""]",1
"58","[Arts & Entertainment, American (Traditional), Food, Breweries, Casinos, Restaurants]","[""Ellis Island Casino & Brewery""]",4,"[""NV""]",1
"59","[Arts & Entertainment, American (Traditional), Music Venues, Bars, Cocktail Bars, Nightlife, Restaurants]","[""1923 Bourbon & Burlesque By Holly Madison""]",3.5,"[""NV""]",1
"60","[Arts & Entertainment, American (Traditional), Music Venues, Bars, Dance Clubs, Nightlife, Bowling, Active Life, Restaurants]","[""Jillian's""]",3,"[""NV""]",1
"61","[Arts & Entertainment, Bars, Casinos, Cocktail Bars, Nightlife, American (New), Restaurants]","[""La Bayou Casino""]",3.5,"[""NV""]",1
"62","[Arts & Entertainment, Bars, Casinos, Nightlife, American (New), Restaurants]","[""Margaritaville Casino""]",4,"[""NV""]",1
"63","[Arts & Entertainment, Bars, Casinos, Nightlife, American (New), Sports Bars, Restaurants]","[""Town Center Lounge II""]",3,"[""NV""]",1
"64","[Arts & Entertainment, Buffets, Casinos, Event Planning & Services, Hotels & Travel, Restaurants, Hotels]","[""Lago Buffet""]",2.5,"[""NV""]",1
"65","[Arts & Entertainment, Casinos, Buffets, Restaurants]","[""Aztec Inn, Casino & Buffet""]",3,"[""NV""]",1
"66","[Arts & Entertainment, Casinos, Delis, Restaurants]","[""The Spread Sports Book & Deli""]",4,"[""NV""]",1
"67","[Arts & Entertainment, Casinos, Event Planning & Services, Hotels & Travel, Hotels, Restaurants]","[""Silver Sevens Hotel and Casino"",""Riviera Hotel & Casino"",""Barbary Coast Hotel & Casino"",""Sahara Hotel"",""New Frontier Hotel & Casino"",""Hotel San Remo""]",2.91666666666667,"[""NV""]",6
"68","[Arts & Entertainment, Casinos, Nightlife, Restaurants]","[""Village Pub Bar & Grill"",""Village Pub and Poker"",""Village Pub & Casino""]",3.66666666666667,"[""NV""]",3
"69","[Arts & Entertainment, Casinos, Restaurants]","[""Smoke Ranch Junction"",""Fiesta Rancho"",""The Paiza Club""]",3.66666666666667,"[""NV""]",3
"70","[Arts & Entertainment, Music Venues, Burgers, Nightlife, American (New), Restaurants]","[""Hard Rock Caf""]",3.5,"[""NV""]",2
"71","[Arts & Entertainment, Music Venues, Food, Breakfast & Brunch, Desserts, Nightlife, Restaurants]","[""The Crpe""]",3.5,"[""NV""]",1
"72","[Arts & Entertainment, Music Venues, Nightlife, Bowling, Active Life, American (New), Restaurants]","[""Brooklyn Bowl""]",4,"[""NV""]",1
"73","[Arts & Entertainment, Music Venues, Restaurants, Hotels, Event Planning & Services, Hotels & Travel, American (New), Nightlife]","[""House of Blues""]",3.5,"[""NV""]",1
"74","[Arts & Entertainment, Music Venues, Seafood, Nightlife, Steakhouses, Restaurants]","[""Kelly's Prime Steak & Seafood""]",2.5,"[""NV""]",1
"75","[Arts & Entertainment, Performing Arts, Hawaiian, Restaurants]","[""Imperial Hawaiian Luau""]",2,"[""NV""]",1
"76","[Arts & Entertainment, Restaurants, Bars, Casinos, Event Planning & Services, Lounges, Nightlife, Hotels & Travel, American (New), Hotels]","[""Binion's Hotel & Casino""]",3,"[""NV""]",1
"77","[Arts & Entertainment, Restaurants, Festivals, Italian]","[""San Gennaro Feast""]",2.5,"[""NV""]",1
"78","[Arts & Entertainment, Restaurants, RV Parks, Casinos, Event Planning & Services, Hotels & Travel, American (New), Hotels]","[""Arizona Charlie's Boulder Casino, Hotel & RV Resort""]",3,"[""NV""]",1
"79","[Arts & Entertainment, Restaurants]","[""Star Trek the Experience""]",4.5,"[""NV""]",1
"80","[Arts & Entertainment, Vietnamese, Casinos, Event Planning & Services, Hotels & Travel, Restaurants, Hotels]","[""Pho Da Nang""]",3,"[""NV""]",1
"81","[Asian Fusion, Buffets, Chinese, Restaurants]","[""Krazy Buffet""]",3.5,"[""NV""]",1
"82","[Asian Fusion, Buffets, Restaurants]","[""Little Dumpling Asian Buffet""]",3.5,"[""NV""]",1
"83","[Asian Fusion, Cafes, Restaurants]","[""Banana Leaf Caf""]",2.5,"[""NV""]",1
"84","[Asian Fusion, Cantonese, Chinese, Filipino, Restaurants]","[""Chow King""]",3,"[""NV""]",1
"85","[Asian Fusion, Cantonese, Chinese, Restaurants]","[""Fu Restaurant""]",4,"[""NV""]",1
"86","[Asian Fusion, Cantonese, Dim Sum, Chinese, Restaurants]","[""Cathay House Restaurant""]",3,"[""NV""]",1
"87","[Asian Fusion, Chinese, Barbeque, Restaurants]","[""Stir Krazy Mongolian Grill""]",4.5,"[""NV""]",1
"88","[Asian Fusion, Chinese, Restaurants]","[""Lao Sze Chuan"",""World Noodle"",""Teriwoki"",""Chinois"",""Kung Fu Chef""]",3.2,"[""NV""]",5
"89","[Asian Fusion, Dim Sum, Chinese, Restaurants]","[""Yong Kang Street""]",3.5,"[""NV""]",1
"90","[Asian Fusion, Filipino, Restaurants]","[""Full House BBQ""]",4,"[""NV""]",1
"91","[Asian Fusion, Hawaiian, Restaurants]","[""Roy's Restaurant""]",4,"[""NV""]",1
"92","[Asian Fusion, Japanese, French, Restaurants]","[""Japaneiro Asian Infusion""]",4.5,"[""NV""]",1
"93","[Asian Fusion, Japanese, Hawaiian, Restaurants]","[""Teriyaki Madness""]",3.85714285714286,"[""NV""]",7
"94","[Asian Fusion, Japanese, Restaurants]","[""Kaba Curry"",""Nina"",""Hiromaru Fusion Ramen""]",4,"[""NV""]",3
"95","[Asian Fusion, Ramen, Japanese, Restaurants]","[""Ku Noodle""]",3,"[""NV""]",1
"96","[Asian Fusion, Restaurants]","[""Poppy Den"",""Mainland"",""Chapa Ghetti"",""Teriyaki Boy Healthy Grill"",""Asan Fresh"",""District One Kitchen & Bar"",""Khotan"",""TSS Grill"",""Hot Feel"",""FAME"",""Tao Asian Bistro"",""JaiHo Restaurant"",""28GO The Restaurant"",""The Memory Asian"",""Lucky Cheng's Restaurant""",3.325,"[""NV""]",20
"97","[Asian Fusion, Sushi Bars, Japanese, Restaurants]","[""808 Tapas"",""Zenshin Asian Restaurant"",""Grand Wok"",""MOzen Bistro"",""Japonais"",""Kabuki Japanese Restaurant""]",3.64285714285714,"[""NV""]",7
"98","[Asian Fusion, Sushi Bars, Restaurants]","[""Dragonfly""]",3.5,"[""NV""]",1
"99","[Bakeries, Food, American (New), Restaurants]","[""Marie Callenders Restaurant & Bakery""]",3,"[""NV""]",1
"100","[Bakeries, Food, American (Traditional), Restaurants]","[""Coco's Family Restaurant"",""Marie Callender's"",""Pie Me Over""]",3.83333333333333,"[""NV""]",3
"101","[Bakeries, Food, Bagels, Sandwiches, Restaurants]","[""Nosh""]",3.5,"[""NV""]",1
"102","[Bakeries, Food, Breakfast & Brunch, American (New), Restaurants]","[""Freed's Bakery""]",4,"[""NV""]",1
"103","[Bakeries, Food, Breakfast & Brunch, Cafes, Restaurants]","[""Lulu's Bread & Breakfast""]",4,"[""NV""]",1
"104","[Bakeries, Food, Breakfast & Brunch, Restaurants]","[""JJ's Boulangerie""]",3,"[""NV""]",1
"105","[Bakeries, Food, Cafes, Restaurants]","[""Cafe Belle Madeleine"",""Coco's Bakery & Restaurant""]",2.66666666666667,"[""NV""]",3
"106","[Bakeries, Food, Cafes, Sandwiches, Restaurants]","[""Palio Pronto""]",3.5,"[""NV""]",1
"107","[Bakeries, Food, Caribbean, Vegan, Restaurants]","[""Pura Vida Bakery & Bystro""]",3.5,"[""NV""]",1
"108","[Bakeries, Food, Cuban, Sandwiches, Restaurants]","[""Roly's Bakery""]",3.5,"[""NV""]",1
"109","[Bakeries, Food, Delis, Cafes, Restaurants]","[""Chieti Coffee & Roasting""]",4,"[""NV""]",1
"110","[Bakeries, Food, Fast Food, Pretzels, Restaurants]","[""Auntie Anne's""]",4.5,"[""NV""]",1
"111","[Bakeries, Food, Filipino, Restaurants]","[""Red Ribbon""]",4,"[""NV""]",1
"112","[Bakeries, Food, French, Restaurants]","[""Patisserie Manon"",""Josette's Bistro""]",4.25,"[""NV""]",2
"113","[Bakeries, Food, German, Restaurants]","[""German Bread Bakery""]",4.5,"[""NV""]",1
"114","[Bakeries, Food, Gluten-Free, Vegan, Restaurants]","[""A La Mode""]",4.5,"[""NV""]",1
"115","[Bakeries, Food, Hawaiian, Restaurants]","[""Miles Bake Shop & Hawaiian Foods""]",4,"[""NV""]",1
"116","[Bakeries, Food, Mediterranean, Restaurants]","[""Nour Deli And Bakery""]",4,"[""NV""]",1
"117","[Bakeries, Food, Mexican, Restaurants]","[""La Reina Mexican Food & Bakery"",""La Mexicana Bakery & Deli""]",4,"[""NV""]",2
"118","[Bakeries, Food, Middle Eastern, Restaurants]","[""Amena Bakery & Deli""]",4.5,"[""NV""]",1
"119","[Bakeries, Food, Persian/Iranian, Beer, Wine & Spirits, Restaurants]","[""Caspian Persian Cuisine""]",3.5,"[""NV""]",1
"120","[Bakeries, Food, Restaurants, Gelato, Italian]","[""Tintoretto Restaurant and Bakery""]",3,"[""NV""]",1
"121","[Bakeries, Food, Restaurants, Sandwiches, Desserts]","[""Great Buns Bakery""]",4.5,"[""NV""]",1
"122","[Bakeries, Food, Restaurants]","[""Cinnabon"",""Amore Patisserie""]",4.25,"[""NV""]",2
"123","[Bakeries, Food, Sandwiches, Restaurants]","[""Great Harvest Bread Company"",""Lee's Sandwiches""]",3.75,"[""NV""]",2
"124","[Bakeries, Food, Specialty Food, Desserts, Chocolatiers & Shops, Restaurants]","[""Jean Philippe Patisserie""]",4,"[""NV""]",1
"125","[Bakeries, Food, Vegan, Restaurants]","[""Bite Vegan Bakery""]",5,"[""NV""]",1
"126","[Bakeries, Mediterranean, Middle Eastern, Food, Restaurants]","[""Byblos Cafe & Pastries""]",4.5,"[""NV""]",1
"127","[Barbeque, Chinese, Restaurants]","[""Sam Woo BBQ Restaurant"",""Asian BBQ & Noodles""]",3,"[""NV""]",2
"128","[Barbeque, Filipino, Restaurants]","[""Aristocrat BBQ & Noodle House""]",3.5,"[""NV""]",1
"129","[Barbeque, Hawaiian, Restaurants]","[""Island Style B.B.Q."",""Aloha Hawaiian BBQ"",""L&L Hawaiian Barbecue"",""Ohana Hawaiian BBQ"",""Lulu Hawaiian Bbq"",""#1 Hawaiian Barbecue"",""Ohana Hawaiian Bbq"",""L & L Hawaiian Barbecue""]",3.61111111111111,"[""NV""]",9
"130","[Barbeque, Restaurants]","[""Barbecue Masters Tavern"",""Cookie's BBQ"",""L & L Hawaiian BBQ"",""Dickey's Barbecue Pit"",""CJ's Texas Barbeque"",""Harry O's BBQ"",""Sleepy Wilson's Barbecue"",""Memphis Championship Barbecue"",""Mack Ribz BBQ & Louisiana Fried Chicken"",""Cook's BBQ"",""Shane's Rib Sha",3.22727272727273,"[""NV""]",44
"131","[Bars, American (New), American (Traditional), Nightlife, Restaurants]","[""Bilbo's Bar & Grill"",""First Food & Bar""]",3,"[""NV""]",2
"132","[Bars, American (New), Cocktail Bars, Nightlife, Restaurants]","[""Embers"",""WILD""]",4,"[""NV""]",2
"133","[Bars, American (New), Hookah Bars, Nightlife, Restaurants]","[""Nu Sanctuary Lounge""]",2.5,"[""NV""]",1
"134","[Bars, American (New), Nightlife, Lounges, Restaurants]","[""Island Grill"",""Blue Martini"",""Park on Fremont"",""The Perch"",""Skinny Dugans"",""V Bar"",""Straight Up Gaming & Martini Lounge"",""Bistro95Ten & Lounge"",""The Martini""]",3.83333333333333,"[""NV""]",9
"135","[Bars, American (New), Nightlife, Lounges, Steakhouses, Restaurants]","[""Beso""]",3.5,"[""NV""]",1
"136","[Bars, American (New), Nightlife, Restaurants]","[""Courthouse Bar & Grill"",""Wolfgang Puck Bar and Grill"",""Joey's Tavern"",""Fireside Restaurant & Tavern"",""DOC Holliday's Saloons"",""RePete's"",""Zodie's"",""Northstar Bar & Grill"",""Mad Matty's Bar & Grille"",""The Black Door"",""She by Morton's"",""Nobhill Tavern by M",3.76923076923077,"[""NV""]",13
"137","[Bars, American (New), Restaurants, Sports Bars, Nightlife]","[""Four Kegs Sports Bar""]",4,"[""NV""]",1
"138","[Bars, American (New), Wine Bars, Nightlife, Steakhouses, Restaurants]","[""Fleming's Prime Steakhouse & Wine Bar""]",4,"[""NV""]",1
"139","[Bars, American (Traditional), Airports, Nightlife, Hotels & Travel, Sports Bars, Restaurants]","[""Home Turf""]",2,"[""NV""]",1
"140","[Bars, American (Traditional), Arts & Entertainment, Casinos, Nightlife, Restaurants]","[""Five Star Tavern""]",3.75,"[""NV""]",2
"141","[Bars, American (Traditional), Arts & Entertainment, Nightlife, Jazz & Blues, Restaurants]","[""City Lights Bar And Grill""]",3.5,"[""NV""]",1
"142","[Bars, American (Traditional), Asian Fusion, Nightlife, Lounges, Restaurants]","[""Red Label""]",3,"[""NV""]",1
"143","[Bars, American (Traditional), Breakfast & Brunch, Nightlife, Lounges, Restaurants]","[""The Peppermill Restaurant & Fireside Lounge""]",4,"[""NV""]",1
"144","[Bars, American (Traditional), Breakfast & Brunch, Nightlife, Sports Bars, Restaurants]","[""Blue Ox Tavern""]",4.5,"[""NV""]",1
"145","[Bars, American (Traditional), British, Pubs, Nightlife, Restaurants]","[""Firkin On Paradise""]",3.5,"[""NV""]",1
"146","[Bars, American (Traditional), Burgers, Nightlife, Sports Bars, Restaurants]","[""Islands Restaurant"",""Applebee's""]",3.11111111111111,"[""NV""]",9
"147","[Bars, American (Traditional), Caribbean, Nightlife, Restaurants]","[""Kahunaville Island Restaurant""]",3,"[""NV""]",1
"148","[Bars, American (Traditional), Cocktail Bars, Nightlife, Restaurants]","[""Double Barrel Roadhouse""]",3,"[""NV""]",1
"149","[Bars, American (Traditional), Cocktail Bars, Nightlife, Steakhouses, Restaurants]","[""Red Square Restaurant & Vodka Lounge""]",4,"[""NV""]",1
"150","[Bars, American (Traditional), Food, Beer, Wine & Spirits, Breweries, Nightlife, Sports Bars, Restaurants]","[""Big Dog's Bar and Grill""]",4,"[""NV""]",1
"151","[Bars, American (Traditional), Food, Beer, Wine & Spirits, Nightlife, Restaurants]","[""Dick's Last Resort""]",3,"[""NV""]",1
"152","[Bars, American (Traditional), Food, Beer, Wine & Spirits, Nightlife, Sports Bars, Restaurants]","[""Vince Neil's Tatuado EAT DRINK PARTY""]",2.5,"[""NV""]",1
"153","[Bars, American (Traditional), Irish Pub, Nightlife, Restaurants]","[""Sean Patrick's Irish Pub""]",3,"[""NV""]",1
"154","[Bars, American (Traditional), Music Venues, Arts & Entertainment, Dive Bars, Nightlife, Restaurants]","[""Boomer's Bar""]",3.5,"[""NV""]",1
"155","[Bars, American (Traditional), Music Venues, Arts & Entertainment, Nightlife, Karaoke, Restaurants]","[""Rainbow Bar and Grill""]",4,"[""NV""]",1
"156","[Bars, American (Traditional), Music Venues, Arts & Entertainment, Nightlife, Lounges, Restaurants]","[""The Slanted Clam Tavern""]",2,"[""NV""]",1
"157","[Bars, American (Traditional), Nightlife, American (New), Sports Bars, Restaurants]","[""Twin Peaks"",""The Sporting House Bar & Grill""]",3,"[""NV""]",2
"158","[Bars, American (Traditional), Nightlife, Lounges, Restaurants, Pizza]","[""Screwballs Sports Lounge""]",4,"[""NV""]",1
"159","[Bars, American (Traditional), Nightlife, Lounges, Restaurants]","[""Putter's Bar & Grill"",""Charlies  Lakeside Restaurant & Lounge""]",3.25,"[""NV""]",2
"160","[Bars, American (Traditional), Nightlife, Restaurants, Sports Bars, Pizza]","[""Home Plate Grill & Bar""]",3.5,"[""NV""]",1
"161","[Bars, American (Traditional), Nightlife, Restaurants]","[""Timbers - Cheyenne"",""Burger Bar"",""Brewery Bar & Grill"",""The Bar @ Tropicana & Durango"",""Kopper Keg Lounge"",""Timbers - Durango"",""Rush Hour Tavern"",""PBR Rock Bar & Grill"",""Jackson's Bar & Grill"",""Office 5 Bar & Grill"",""Bomas Bar & Grill"",""Tommy Rocker's"",",3.58333333333333,"[""NV""]",36
"162","[Bars, American (Traditional), Nightlife, Steakhouses, Sports Bars, Restaurants]","[""Applebee's""]",3,"[""NV""]",1
"163","[Bars, American (Traditional), Pubs, Nightlife, Sports Bars, Restaurants]","[""The Bar @ Las Vegas Blvd & Wigwam"",""Tilted Kilt Pub & Eatery"",""Aces & Ales""]",3.5,"[""NV""]",3
"164","[Bars, American (Traditional), Sports Bars, Nightlife, Chicken Wings, Restaurants]","[""Buffalo Wild Wings""]",3.25,"[""NV""]",6
"165","[Bars, Arts & Entertainment, Arcades, Nightlife, Sports Bars, Restaurants]","[""ESPN Zone""]",3.5,"[""NV""]",1
"166","[Bars, Asian Fusion, Cocktail Bars, Nightlife, American (New), Restaurants]","[""Remiix""]",4.5,"[""NV""]",1
"167","[Bars, Asian Fusion, Nightlife, Lounges, Karaoke, Restaurants]","[""21 Restaurant & Lounge"",""Muse Asian Cuisine & Lounge""]",4,"[""NV""]",2
"168","[Bars, Asian Fusion, Nightlife, Restaurants]","[""Sensi"",""SUSHISAMBA - Las Vegas"",""Andrea's""]",4,"[""NV""]",3
"169","[Bars, Breakfast & Brunch, Nightlife, Lounges, Steakhouses, Restaurants]","[""Hitchin Post Saloon & Steakhouse""]",4,"[""NV""]",1
"170","[Bars, Cafes, Cocktail Bars, Nightlife, Restaurants]","[""PRESS at Four Seasons""]",4.5,"[""NV""]",1
"171","[Bars, Cafes, Hookah Bars, Nightlife, Restaurants]","[""Azuza Hookah Lounge & Cafe"",""Dream Cafe & Hookah Bar""]",3.75,"[""NV""]",2
"172","[Bars, Cafes, Nightlife, Lounges, Restaurants]","[""Gold Spike"",""The Blind Pig""]",4,"[""NV""]",2
"173","[Bars, Cafes, Nightlife, Restaurants]","[""Sandbar""]",3,"[""NV""]",1
"174","[Bars, Chinese, Food, Beer, Wine & Spirits, Nightlife, Restaurants]","[""Fin"",""Rice & Company""]",3,"[""NV""]",2
"175","[Bars, Chinese, Szechuan, Nightlife, Karaoke, Restaurants]","[""Forbes KTV Restaurant & Bar""]",3.5,"[""NV""]",1
"176","[Bars, Cocktail Bars, Nightlife, Korean, Karaoke, Restaurants]","[""Zizzy""]",4.5,"[""NV""]",1
"177","[Bars, Dance Clubs, Nightlife, Lounges, American (New), Restaurants]","[""Foundation Room""]",4,"[""NV""]",1
"178","[Bars, Dance Clubs, Nightlife, Lounges, Italian, Restaurants]","[""LAVO Italian Restaurant & Lounge""]",3.5,"[""NV""]",1
"179","[Bars, Food, Beer, Wine & Spirits, Nightlife, American (New), Restaurants]","[""Distill - A Local Bar""]",3.5,"[""NV""]",1
"180","[Bars, Food, Beer, Wine & Spirits, Nightlife, Gastropubs, Restaurants]","[""Todd English P.U.B.""]",3.5,"[""NV""]",1
"181","[Bars, Food, Breweries, Nightlife, American (New), Restaurants]","[""Gordon Biersch Brewery Restaurant""]",3.5,"[""NV""]",1
"182","[Bars, Food, British, Pubs, Specialty Food, Nightlife, Restaurants]","[""Cornish Pasty Co.""]",4.5,"[""NV""]",1
"183","[Bars, French, Nightlife, Lounges, American (New), Restaurants]","[""MIX""]",4,"[""NV""]",1
"184","[Bars, French, Nightlife, Lounges, Steakhouses, Restaurants]","[""Morels French Steakhouse & Bistro""]",3.5,"[""NV""]",1
"185","[Bars, Japanese, Asian Fusion, Nightlife, Lounges, Restaurants]","[""Social House""]",4,"[""NV""]",1
"186","[Bars, Mediterranean, Dance Clubs, Nightlife, Hookah Bars, Restaurants]","[""Myxx Hookah Lounge""]",3,"[""NV""]",1
"187","[Bars, Mediterranean, Nightlife, Lounges, Hookah Bars, Restaurants]","[""Layla Grill & Hookah""]",4.5,"[""NV""]",1
"188","[Bars, Mediterranean, Nightlife, Lounges, Restaurants]","[""Maza Mediterranean Grill""]",4.5,"[""NV""]",1
"189","[Bars, Mediterranean, Nightlife, Restaurants]","[""Olives"",""Cafe Hookah""]",3.75,"[""NV""]",2
"190","[Bars, Mediterranean, Nightlife, Russian, Hookah Bars, Restaurants]","[""Green Dacha Grill & Hookah""]",4.5,"[""NV""]",1
"191","[Bars, Mexican, Nightlife, American (New), Sports Bars, Restaurants]","[""Sammy's Beach Bar & Grill""]",2,"[""NV""]",1
"192","[Bars, Mexican, Nightlife, Karaoke, Restaurants]","[""Hacienda Del Rey""]",4,"[""NV""]",1
