name,city,categories,longitude,latitude,review_count
Seoul Korean Bar B Q Restaurant,Las Vegas,"[Korean, Restaurants]",-115.1404237,36.1428997,3
White Cross Drugs,Las Vegas,"[Cafes, Restaurants]",-115.15304,36.150704,25
Blueberry Hill Family Restaurant,Las Vegas,"[Breakfast & Brunch, Restaurants]",-115.127554,36.159189,11
Macayo Vegas,Las Vegas,"[Mexican, Restaurants]",-115.1272238,36.158865,24
Lucky's Cafe,Las Vegas,"[Diners, Restaurants]",-115.0762536,36.149751,22
Buffet At the Stratosphere,Las Vegas,"[Buffets, Restaurants]",-115.155365,36.147371,81
Roxy's Diner,Las Vegas,"[Diners, Restaurants]",-115.1552059,36.14770952,159
Jack In the Box,Las Vegas,"[Fast Food, Restaurants]",-115.153815,36.1523679,8
El Ausente,Las Vegas,"[Mexican, Restaurants]",-115.115242,36.157276,11
Denny's,Las Vegas,"[American (New), Diners, Restaurants]",-115.1538735,36.1493938,28
Boston Pizza,Las Vegas,"[Pizza, Restaurants]",-115.1509664,36.1530812,85
Florida Cafe Cuban Bar & Grill,Las Vegas,"[Nightlife, Cuban, Bars, Restaurants]",-115.149618,36.155323,158
Pizza Hut,Las Vegas,"[Pizza, Restaurants]",-115.124292,36.1588428,3
Ocha Cuisine,Las Vegas,"[Thai, Chinese, Restaurants]",-115.148335,36.156773,119
McDonald's,Las Vegas,"[Burgers, Fast Food, Restaurants]",-115.119375,36.1584618,4
Chinatown Cuisine,Las Vegas,"[Mexican, Restaurants]",-115.1212644,36.1588445,4
Esmeralda's Cafe,Las Vegas,"[Mexican, Restaurants]",-115.140667,36.158279,22
Rincon Criollo,Las Vegas,"[Cuban, Restaurants]",-115.1483131,36.157345,68
Tortas El Rey,Las Vegas,"[Mexican, Restaurants]",-115.123067,36.158472,4
PT's,Las Vegas,"[Bars, Pubs, Nightlife, American (New), Sports Bars, Restaurants]",-115.0653489,36.147189,3
Italian American Club Restaurant,Las Vegas,"[Restaurants, Italian]",-115.1163131,36.1455103,38
El Pollo Loco,Las Vegas,"[Fast Food, Mexican, Restaurants]",-115.0877703,36.1588157,4
Los Tacos,Las Vegas,"[Mexican, Restaurants]",-115.1275613,36.1584563,155
Cafe Heidelberg German Market & Restaurant,Las Vegas,"[German, Delis, Restaurants]",-115.1464168,36.1439863,41
Komol Restaurant,Las Vegas,"[Vegetarian, Thai, Vegan, Restaurants]",-115.1425263,36.14252394,468
Tony Roma's,Las Vegas,"[Seafood, Steakhouses, American (Traditional), Restaurants]",-115.1456908,36.14430822,23
Elephant BBQ Restaurant,Las Vegas,"[Korean, Barbeque, Restaurants]",-115.1423943,36.1421289,10
Taco Bell,Las Vegas,"[Fast Food, Mexican, Tex-Mex, Restaurants]",-115.136886,36.144553,5
KFC,Las Vegas,"[Fast Food, Chicken Wings, Restaurants]",-115.1369445,36.1442526,5
Tokyo Japanese Restaurant,Las Vegas,"[Sushi Bars, Japanese, Restaurants]",-115.1405587,36.1429063,131
Birrieria Jalisco,Las Vegas,"[Mexican, Restaurants]",-115.1423943,36.1421289,6
Sahara Korean Restaurant,Las Vegas,"[Korean, Restaurants]",-115.1405587,36.1429063,6
Pinoy Pinay Filipino Restaurant,Las Vegas,"[Filipino, Restaurants]",-115.1365689,36.144149,97
Broadway Pizzeria,Las Vegas,"[Italian, Pizza, Restaurants]",-115.1732582,36.161671,143
Lacabana,Las Vegas,"[Mexican, Restaurants]",-115.160885,36.1656948,19
Quiznos,Las Vegas,"[Fast Food, Sandwiches, Restaurants]",-115.172372,36.160499,4
Italia Express,Las Vegas,"[Restaurants, Italian]",-115.1557538,36.1652351,6
China Pantry,Las Vegas,"[Chinese, Restaurants]",-115.1557538,36.1652351,7
Jack in the Box,Las Vegas,"[Fast Food, Restaurants]",-115.1606081,36.1959429,7
Pat's Chinese Food and Minimart,Las Vegas,"[Chinese, Restaurants]",-115.160418,36.188135,3
Popeye's,Las Vegas,"[Fast Food, Chicken Wings, Restaurants]",-115.1744417,36.1769889,16
Seven Seas Restaurant & Lounge,Las Vegas,"[Soul Food, Bars, Nightlife, Lounges, Restaurants]",-115.1523207,36.1958369,9
Churchs Chicken,Las Vegas,"[Fast Food, Chicken Wings, Restaurants]",-115.176519,36.177463,5
Mario's Westside Market,Las Vegas,"[Food, Soul Food, Grocery, Restaurants]",-115.1606906,36.1948837,36
Burger King,Las Vegas,"[American (Traditional), Fast Food, Restaurants]",-115.1774707,36.1798935,3
Wendy's,Las Vegas,"[Burgers, Fast Food, Restaurants]",-115.178365,36.180793,3
Roberto's Taco Shop,Las Vegas,"[Fast Food, Mexican, Restaurants]",-115.1970815,36.1995143,13
Port Of Subs,Las Vegas,"[Sandwiches, Restaurants]",-115.1732582,36.161671,13
Smoke Ranch Junction,Las Vegas,"[Arts & Entertainment, Casinos, Restaurants]",-115.2432571,36.203862,6
Buffet @ Asia,Las Vegas,"[Buffets, Japanese, Chinese, Restaurants]",-115.1185532,36.01045227,150
O'aces Bar & Grill,Las Vegas,"[Nightlife, Restaurants]",-115.2424449,36.2140139,4
Joey's Pizza,Las Vegas,"[Pizza, Restaurants]",-115.2232193,36.2022416,10
Souper Salad,Las Vegas,"[American (Traditional), Restaurants]",-115.242978,36.198783,13
Roberto's Taco Shop,Las Vegas,"[Fast Food, Mexican, Restaurants]",-115.241662,36.189324,17
Burger King,Las Vegas,"[Fast Food, Restaurants]",-115.223459,36.19668,5
Thai Grill,Las Vegas,"[Food, Food Delivery Services, Thai, Restaurants]",-115.2061228,36.1941506,77
Pick Up Stix,Las Vegas,"[Chinese, Restaurants]",-115.2424229,36.1992487,5
Taco Bell,Las Vegas,"[Fast Food, Mexican, Tex-Mex, Restaurants]",-115.227792,36.195937,3
Tacos El Rodeo,Las Vegas,"[Mexican, Restaurants]",-115.2061081,36.1975038,7
Pin Kaow Thai Restaurant,Las Vegas,"[Thai, Restaurants]",-115.241323,36.195393,288
Chili's Grill & Bar,Las Vegas,"[American (Traditional), Tex-Mex, Restaurants]",-115.2419895,36.1961848,57
Tony Roma's,Las Vegas,"[Steakhouses, Seafood, American (Traditional), Restaurants]",-115.2402759,36.1964438,31
Pepe's Tacos,Las Vegas,"[Mexican, Restaurants]",-115.207581,36.18557,79
O'Aces Bar & Grill,Las Vegas,"[Bars, Restaurants, American (Traditional), Sports Bars, Nightlife]",-115.2424449,36.2140139,8
Joe's Crab Shack,Las Vegas,"[Seafood, American (Traditional), Restaurants]",-115.1978446,36.071737,41
Sunshine Cafe,Las Vegas,"[Breakfast & Brunch, Diners, Restaurants]",-115.2075749,36.1879988,39
China Joe's,Las Vegas,"[Chinese, Restaurants]",-115.2248005,36.1958234,12
Yoko Hama Sushi,Las Vegas,"[Sushi Bars, Japanese, Restaurants]",-115.2424724,36.2031202,27
Fair View Chinese Cuisine,Las Vegas,"[Chinese, Restaurants]",-115.205875,36.1945164,7
Applebee's,Las Vegas,"[Bars, American (Traditional), Burgers, Nightlife, Sports Bars, Restaurants]",-115.241409,36.197314,45
Domino's Pizza,Las Vegas,"[Sandwiches, Pizza, Chicken Wings, Restaurants]",-115.2237411,36.1971779,6
Sonic Drive-In,Las Vegas,"[American (Traditional), Fast Food, Restaurants]",-115.230741,36.195414,8
Romano's Macaroni Grill,Las Vegas,"[Restaurants, Italian]",-115.2424329,36.19813466,61
Torrey Pines Pub,Las Vegas,"[Bars, American (Traditional), Nightlife, Restaurants]",-115.2324571,36.1959012,18
Pizza Hut,Las Vegas,"[Pizza, Restaurants]",-115.2249305,36.1959191,4
Griddlecakes,Las Vegas,"[Breakfast & Brunch, Restaurants]",-115.2253774,36.2171468,23
Subway,Las Vegas,"[Fast Food, Sandwiches, Restaurants]",-115.2404192,36.2179656,9
International House of Pancakes,Las Vegas,"[Breakfast & Brunch, Restaurants]",-115.244985,36.219365,23
Wendy's,Las Vegas,"[Burgers, Fast Food, Restaurants]",-115.243688,36.218618,6
Domino's Pizza,Las Vegas,"[Sandwiches, Pizza, Chicken Wings, Restaurants]",-115.0755764,36.1736178,8
Papa John's Pizza,Las Vegas,"[Pizza, Restaurants]",-115.0626506,36.165734,9
Viva El Taco,Las Vegas,"[Mexican, Restaurants]",-115.079983,36.1599337,10
Olive Garden Italian Restaurant,Las Vegas,"[Restaurants, Italian]",-115.0616531,36.1605253,45
The Teriyaki Company,Las Vegas,"[Japanese, Restaurants]",-115.0623694,36.1754227,10
McDonald's,Las Vegas,"[Burgers, Fast Food, Restaurants]",-115.09775,36.1739559,3
Tacos Los Toritos,Las Vegas,"[Mexican, Restaurants]",-115.0623318,36.1802306,7
China Olive,Las Vegas,"[Chinese, Restaurants]",-115.0623846,36.1627045,10
Sonic Drive-In,Las Vegas,"[American (Traditional), Fast Food, Restaurants]",-115.0623466,36.1700842,4
La Mojarra Loca,Las Vegas,"[Mexican, Restaurants]",-115.0796701,36.1782447,11
KFC,Las Vegas,"[Fast Food, Chicken Wings, Restaurants]",-115.0624468,36.1612711,6
Denny's Restaurant,Las Vegas,"[Diners, Restaurants]",-115.0617998,36.16481,16
Applebee's,Las Vegas,"[Bars, American (Traditional), Burgers, Nightlife, Sports Bars, Restaurants]",-115.0615651,36.1682808,27
Arby's,Las Vegas,"[Sandwiches, Restaurants]",-115.0624815,36.1756743,5
Wendy's,Las Vegas,"[Burgers, Fast Food, Restaurants]",-115.0618694,36.1774933,6
Blueberry Hill Family Restaurant,Las Vegas,[Restaurants],-115.0648608,36.1738204,18
Lao Thai Kitchen,Las Vegas,"[Thai, Restaurants]",-115.0617214,36.1782211,54
Big Dog's Bar and Grill,Las Vegas,"[Bars, American (Traditional), Food, Beer, Wine & Spirits, Breweries, Nightlife, Sports Bars, Restaurants]",-115.0623681,36.1871865,9
Popeye's,Las Vegas,"[Chicken Wings, Restaurants]",-115.077982,36.173102,11
Munch A Sub,Las Vegas,"[Sandwiches, Restaurants]",-115.203383,36.0932467,28
Taco Bell,Las Vegas,"[Fast Food, Mexican, Tex-Mex, Restaurants]",-115.242907,36.086682,13
Roberto's Taco Shop,Las Vegas,"[Fast Food, Mexican, Restaurants]",-115.2085216,36.092861,100
Domino's Pizza,Las Vegas,"[Sandwiches, Pizza, Chicken Wings, Restaurants]",-115.208489,36.0922493,16
Felipito's Mexican Food,Las Vegas,"[Mexican, Restaurants]",-115.208574,36.097522,28
Cheng's Express,Las Vegas,"[Chinese, Restaurants]",-115.2431996,36.0894888,25
O'Aces Bar & Grill,Las Vegas,"[Nightlife, Bars, American (Traditional), Sports Bars, Restaurants]",-115.208321,36.098857,37
Tacos El Nopal,Las Vegas,"[Fast Food, Mexican, Restaurants]",-115.196276,36.086835,7
Normandie,Las Vegas,"[Sandwiches, French, Restaurants]",-115.189211,36.095691,5
Memphis Championship Barbecue,Las Vegas,"[Barbeque, Restaurants]",-115.0562582,36.2395163,75
PT's,Las Vegas,"[Bars, Pubs, Nightlife, American (New), Sports Bars, Restaurants]",-115.208489,36.0922493,18
Nikki Lee's Sports Pub & Grill,Las Vegas,"[Pizza, Bars, Restaurants, Sports Bars, Nightlife]",-115.114102,36.071999,32
Original Pancake House,Las Vegas,"[Breakfast & Brunch, Restaurants]",-115.2964909,36.11350091,185
Brewery Bar & Grill,Las Vegas,"[Bars, American (Traditional), Nightlife, Restaurants]",-115.1078327,36.0720741,9
Papa John's Pizza,Las Vegas,"[Pizza, Restaurants]",-115.099437,36.072197,10
Port of Subs,Las Vegas,"[Sandwiches, Restaurants]",-115.094014,36.0721501,6
Kabob Grill,Las Vegas,"[Mediterranean, Persian/Iranian, Middle Eastern, Restaurants]",-115.117155,36.0146273,110
Jack in the Box,Las Vegas,"[Fast Food, Restaurants]",-115.071956,36.086046,3
PT's,Las Vegas,"[Bars, Pubs, Nightlife, American (New), Sports Bars, Restaurants]",-115.099184,36.071805,16
Panda Express,Las Vegas,"[Fast Food, Chinese, Restaurants]",-115.090402,36.071707,14
Super Mex Restaurant & Cantina,Las Vegas,"[Mexican, Restaurants]",-115.0993861,36.0722521,93
Subway,Las Vegas,"[Fast Food, Sandwiches, Restaurants]",-115.101374,36.099678,10
Office 5 Bar & Grill,Las Vegas,"[Bars, American (Traditional), Nightlife, Restaurants]",-115.1017032,36.08631469,4
The Cook's Shop Pizzeria,Las Vegas,"[Pizza, Restaurants]",-115.1005988,36.086265,3
Golden Flower Chinese Cuisine,Las Vegas,"[Chinese, Restaurants]",-115.1025992,36.0857708,97
Mr. Chop Chop,Las Vegas,"[Thai, Chinese, Restaurants]",-115.1013785,36.0972977,54
Philly Cheesesteak Factory,Las Vegas,"[Cheesesteaks, Restaurants]",-115.101518,36.078753,13
Taco Bell,Las Vegas,"[Fast Food, Mexican, Tex-Mex, Restaurants]",-115.116276,36.071741,7
Bob's East Side Deli,Las Vegas,"[Delis, Sandwiches, Restaurants]",-115.110967,36.079498,42
McDonald's,Las Vegas,"[Burgers, Fast Food, Restaurants]",-115.115344,36.071943,11
Amlee Chinese Cuisine,Las Vegas,"[Chinese, Restaurants]",-115.0911608,36.0706671,53
Capriotti's Sandwich Shop,Las Vegas,"[Sandwiches, Restaurants]",-115.088063,36.070731,29
Sonic Drive-In,Las Vegas,"[American (Traditional), Fast Food, Restaurants]",-115.061928,36.099863,11
Jack in the Box,Las Vegas,"[Fast Food, Restaurants]",-115.03178,36.0847229,5
Del Taco,Las Vegas,"[Mexican, Restaurants]",-115.0530945,36.1021067,9
Port of Subs,Las Vegas,"[Sandwiches, Restaurants]",-115.0530181,36.102514,5
Billy Bob's Steakhouse,Las Vegas,"[Steakhouses, Restaurants]",-115.060916,36.111784,59
Willy & Jose's,Las Vegas,"[Mexican, Restaurants]",-115.060916,36.111784,40
Denny's,Las Vegas,"[Diners, Restaurants]",-115.0578637,36.10597498,19
Burger King,Las Vegas,"[Fast Food, Restaurants]",-115.052443,36.101433,3
Firelight Buffet,Las Vegas,"[Buffets, Restaurants]",-115.0468477,36.10839835,73
Little Caesar's Pizza,Las Vegas,"[Pizza, Restaurants]",-115.0634182,36.1010195,4
Panda Express,Las Vegas,"[Chinese, Restaurants]",-115.0623534,36.1128952,3
PT's,Las Vegas,"[Bars, Pubs, Nightlife, American (New), Sports Bars, Restaurants]",-115.2816734,36.1995034,9
Panda Express,Las Vegas,"[Fast Food, Chinese, Restaurants]",-115.258816,36.196201,6
Pizza Hut,Las Vegas,"[Pizza, Restaurants]",-115.2817672,36.2005782,9
Grape Street,Las Vegas,"[Wine Bars, Bars, Restaurants, Nightlife, Italian]",-115.2571252,36.1960224,231
Rubio's Fresh Mexican Grill,Las Vegas,"[Mexican, Restaurants]",-115.2500796,36.1970662,50
McDonald's,Las Vegas,"[Burgers, Fast Food, Restaurants]",-115.2537641,36.1813293,12
Roadrunner Saloon,Las Vegas,"[Bars, American (Traditional), Nightlife, Restaurants]",-115.2602711,36.18224438,44
Taco Bell,Las Vegas,"[Fast Food, Mexican, Tex-Mex, Restaurants]",-115.259949,36.201355,5
Chuck E Cheese's,Las Vegas,"[Pizza, Restaurants]",-115.2531125,36.1959753,20
Jimmy John's,Las Vegas,"[Sandwiches, Restaurants]",-115.2503143,36.1962858,51
Beach Pizza,Las Vegas,"[Italian, Pizza, Restaurants]",-115.2593102,36.1915723,30
Northside Nathan's Pizza,Las Vegas,"[Pizza, Sandwiches, Restaurants]",-115.2582758,36.1956158,81
Beano's Casino,Las Vegas,"[Casinos, Arts & Entertainment, American (Traditional), Chicken Wings, Restaurants]",-115.248735,36.196502,23
Roberto's Taco Shop,Las Vegas,"[Fast Food, Mexican, Restaurants]",-115.2807763,36.2000572,19
Village Pub & Casino,Las Vegas,"[Arts & Entertainment, Casinos, Nightlife, Restaurants]",-115.2684309,36.2067752,37
Burger King,Las Vegas,"[Fast Food, Restaurants]",-115.280873,36.199276,5
