name,city,categories,longitude,latitude,review_count
Chili's Grill & Bar,Las Vegas,"[American (Traditional), Tex-Mex, Restaurants]",-115.2419895,36.1961848,57
Tony Roma's,Las Vegas,"[Steakhouses, Seafood, American (Traditional), Restaurants]",-115.2402759,36.1964438,31
Pepe's Tacos,Las Vegas,"[Mexican, Restaurants]",-115.207581,36.18557,79
Joe's Crab Shack,Las Vegas,"[Seafood, American (Traditional), Restaurants]",-115.1978446,36.071737,41
Sunshine Cafe,Las Vegas,"[Breakfast & Brunch, Diners, Restaurants]",-115.2075749,36.1879988,39
Yoko Hama Sushi,Las Vegas,"[Sushi Bars, Japanese, Restaurants]",-115.2424724,36.2031202,27
Applebee's,Las Vegas,"[Bars, American (Traditional), Burgers, Nightlife, Sports Bars, Restaurants]",-115.241409,36.197314,45
Romano's Macaroni Grill,Las Vegas,"[Restaurants, Italian]",-115.2424329,36.19813466,61
Olive Garden Italian Restaurant,Las Vegas,"[Restaurants, Italian]",-115.0616531,36.1605253,45
Applebee's,Las Vegas,"[Bars, American (Traditional), Burgers, Nightlife, Sports Bars, Restaurants]",-115.0615651,36.1682808,27
Lao Thai Kitchen,Las Vegas,"[Thai, Restaurants]",-115.0617214,36.1782211,54
Munch A Sub,Las Vegas,"[Sandwiches, Restaurants]",-115.203383,36.0932467,28
Roberto's Taco Shop,Las Vegas,"[Fast Food, Mexican, Restaurants]",-115.2085216,36.092861,100
Felipito's Mexican Food,Las Vegas,"[Mexican, Restaurants]",-115.208574,36.097522,28
O'Aces Bar & Grill,Las Vegas,"[Nightlife, Bars, American (Traditional), Sports Bars, Restaurants]",-115.208321,36.098857,37
Memphis Championship Barbecue,Las Vegas,"[Barbeque, Restaurants]",-115.0562582,36.2395163,75
Nikki Lee's Sports Pub & Grill,Las Vegas,"[Pizza, Bars, Restaurants, Sports Bars, Nightlife]",-115.114102,36.071999,32
Original Pancake House,Las Vegas,"[Breakfast & Brunch, Restaurants]",-115.2964909,36.11350091,185
Kabob Grill,Las Vegas,"[Mediterranean, Persian/Iranian, Middle Eastern, Restaurants]",-115.117155,36.0146273,110
Super Mex Restaurant & Cantina,Las Vegas,"[Mexican, Restaurants]",-115.0993861,36.0722521,93
Golden Flower Chinese Cuisine,Las Vegas,"[Chinese, Restaurants]",-115.1025992,36.0857708,97
Mr. Chop Chop,Las Vegas,"[Thai, Chinese, Restaurants]",-115.1013785,36.0972977,54
Bob's East Side Deli,Las Vegas,"[Delis, Sandwiches, Restaurants]",-115.110967,36.079498,42
Amlee Chinese Cuisine,Las Vegas,"[Chinese, Restaurants]",-115.0911608,36.0706671,53
Capriotti's Sandwich Shop,Las Vegas,"[Sandwiches, Restaurants]",-115.088063,36.070731,29
Billy Bob's Steakhouse,Las Vegas,"[Steakhouses, Restaurants]",-115.060916,36.111784,59
Willy & Jose's,Las Vegas,"[Mexican, Restaurants]",-115.060916,36.111784,40
Firelight Buffet,Las Vegas,"[Buffets, Restaurants]",-115.0468477,36.10839835,73
Grape Street,Las Vegas,"[Wine Bars, Bars, Restaurants, Nightlife, Italian]",-115.2571252,36.1960224,231
Rubio's Fresh Mexican Grill,Las Vegas,"[Mexican, Restaurants]",-115.2500796,36.1970662,50
Roadrunner Saloon,Las Vegas,"[Bars, American (Traditional), Nightlife, Restaurants]",-115.2602711,36.18224438,44
Jimmy John's,Las Vegas,"[Sandwiches, Restaurants]",-115.2503143,36.1962858,51
Beach Pizza,Las Vegas,"[Italian, Pizza, Restaurants]",-115.2593102,36.1915723,30
Northside Nathan's Pizza,Las Vegas,"[Pizza, Sandwiches, Restaurants]",-115.2582758,36.1956158,81
Village Pub & Casino,Las Vegas,"[Arts & Entertainment, Casinos, Nightlife, Restaurants]",-115.2684309,36.2067752,37
Red Rock Pizza,Las Vegas,"[Italian, Pizza, Restaurants]",-115.2805472,36.1978251,71
Steiner's Nevada Style Pub,Las Vegas,"[Pubs, Bars, American (Traditional), Nightlife, Restaurants]",-115.2600699,36.1907268,69
Omelet House Summerlin,Las Vegas,"[Breakfast & Brunch, Italian, Restaurants]",-115.2818774,36.2004665,85
Diamond China 2,Las Vegas,"[Chinese, Restaurants]",-115.281657,36.2006899,28
Yummy Grill & Sushi,Las Vegas,"[Sushi Bars, Japanese, Restaurants]",-115.252849,36.196089,319
March� Bacchus,Las Vegas,"[Wine Bars, Bars, Nightlife, French, Restaurants]",-115.2682033,36.2074847,339
Round Table Pizza,Las Vegas,"[Pizza, Restaurants]",-115.2561493,36.19697189,28
Baba's Tsi-bugan Restaurant,Las Vegas,"[Food, Food Delivery Services, American (New), Filipino, Restaurants]",-115.2358857,36.2433513,28
Fiesta Rancho,North Las Vegas,"[Arts & Entertainment, Casinos, Restaurants]",-115.1962954,36.2015056,52
Bob Taylor's Ranch House,Las Vegas,"[American (Traditional), Steakhouses, Restaurants]",-115.2462757,36.2742311,148
Big Dog's Draft House,Las Vegas,"[Food, American (Traditional), Breweries, Restaurants]",-115.2358276,36.242387,208
Cheyenne Saloon,Las Vegas,"[Bars, Music Venues, Arts & Entertainment, Dive Bars, Nightlife, Restaurants]",-115.2123105,36.2151739,33
El Burrito Mexican Restaurant,Las Vegas,"[Mexican, Restaurants]",-115.2794155,36.2102322,39
Sultan's Grill,Las Vegas,"[Greek, Mediterranean, Restaurants]",-115.3042924,36.19307129,60
Sonic Drive-In,Las Vegas,"[Fast Food, Restaurants]",-115.0492967,36.1588987,27
Fazoli's Italian Restaurant,Las Vegas,"[Restaurants, Italian]",-115.3094988,36.1839721,29
KJ Kitchen,Las Vegas,"[Chinese, Restaurants]",-115.2231413,36.1256877,205
Prommares Thai Food,Las Vegas,"[Thai, Restaurants]",-115.2316887,36.144212,133
Sammy's Woodfired Pizza and Grill,Las Vegas,"[Pizza, Gluten-Free, Restaurants]",-115.2364833,36.1442244,164
Sushi On Rainbow,Las Vegas,"[Sushi Bars, Japanese, Restaurants]",-115.242438,36.126717,125
Hooters Casino Hotel,Las Vegas,"[Casinos, Arts & Entertainment, American (Traditional), American (New), Restaurants]",-115.1675034,36.09980774,770
Pho Saigon 8,Las Vegas,"[Vietnamese, Restaurants]",-115.2187129,36.125761,319
Fiesta Filipina,Las Vegas,"[Filipino, Restaurants]",-115.2247746,36.1286223,44
Rincon De Buenos Aires,Las Vegas,"[Steakhouses, Argentine, Restaurants]",-115.213915,36.1267101,124
Original Pancake House,Las Vegas,"[Breakfast & Brunch, Restaurants]",-115.2072699,36.1589104,83
Buffet Asia,Las Vegas,"[Dim Sum, Sushi Bars, Japanese, Chinese, Restaurants]",-115.2422681,36.144758,164
Que Huong Restaurant,Las Vegas,"[Vietnamese, Restaurants]",-115.225945,36.126625,27
Mr D's Sportsbar & Grill,Las Vegas,"[Bars, Restaurants, American (Traditional), Sports Bars, Nightlife]",-115.242763,36.151297,33
Sonic Drive-In,Las Vegas,"[Fast Food, Restaurants]",-115.233012,36.143552,33
Sushi Yamaguchi,Las Vegas,"[Sushi Bars, Japanese, Restaurants]",-115.2222504,36.1593466,35
The Tap House,Las Vegas,"[Bars, Restaurants, Nightlife, Italian]",-115.218416,36.158414,51
New York Pizza & Pasta,Las Vegas,"[Italian, Pizza, Restaurants]",-115.2244681,36.1455047,88
Blue Ox Tavern,Las Vegas,"[Bars, American (Traditional), Breakfast & Brunch, Nightlife, Sports Bars, Restaurants]",-115.2217,36.142636,43
Roma Deli & Restaurant 1,Las Vegas,"[Delis, Italian, Restaurants]",-115.2198749,36.1253063,99
Marnee Thai Restaurant,Las Vegas,"[Thai, Restaurants]",-115.2182851,36.1265084,47
Cathay House Restaurant,Las Vegas,"[Asian Fusion, Cantonese, Dim Sum, Chinese, Restaurants]",-115.213915,36.1267101,242
Schlotzsky's Deli,Las Vegas,"[Delis, Sandwiches, Restaurants]",-115.2091863,36.1586671,48
Tacos El Compita,Las Vegas,"[Mexican, Restaurants]",-115.2248585,36.1593157,39
Gyro Time Restaurant,Las Vegas,"[Greek, Mediterranean, Restaurants]",-115.2125772,36.1588203,33
Farm Basket,Las Vegas,"[Fast Food, Restaurants]",-115.2250915,36.1594218,54
Nevada Chicken Cafe,Las Vegas,"[Salad, Sandwiches, Barbeque, Restaurants]",-115.2266305,36.1437858,142
The Lodge At Fort Apache,Las Vegas,"[Pubs, Bars, American (Traditional), Nightlife, Restaurants]",-115.296933,36.0834649,31
Panera Bread,Las Vegas,"[Soup, Sandwiches, Salad, Restaurants]",-115.2967171,36.0957458,117
The Range Steakhouse,Las Vegas,"[Steakhouses, Restaurants]",-115.1710333,36.1226679,106
Mama Maria's Mexican Restaurant,Las Vegas,"[Mexican, Restaurants]",-115.0404551,36.1956384,67
Timbers - Horizon Ridge,Las Vegas,"[Bars, American (Traditional), Nightlife, Restaurants]",-115.0502202,36.0224814,35
Jasmine Express,North Las Vegas,"[Vietnamese, Asian Fusion, Chinese, Restaurants]",-115.1539433,36.2604501,124
Applebee's,Las Vegas,"[Steakhouses, Bars, American (Traditional), Nightlife, Restaurants]",-115.1450717,36.057545,30
Aloha Specialties,Las Vegas,"[Hawaiian, Restaurants]",-115.1450046,36.1730572,407
Binion's Hotel & Casino,Las Vegas,"[Arts & Entertainment, Restaurants, Bars, Casinos, Event Planning & Services, Lounges, Nightlife, Hotels & Travel, American (New), Hotels]",-115.144061,36.171235,132
Chicago Joe's Restaurant,Las Vegas,"[Restaurants, Italian]",-115.1478836,36.1609974,141
Dona Maria Tamales Restaurant,Las Vegas,"[Mexican, Restaurants]",-115.147258,36.1594218,112
El Sombrero Cafe,Las Vegas,"[Mexican, Restaurants]",-115.1512318,36.1627231,59
Uncle Joe's Pizza,Las Vegas,"[Pizza, Restaurants]",-115.1405453,36.1691679,120
Hugo's Cellar,Las Vegas,"[Steakhouses, Seafood, American (Traditional), Restaurants]",-115.142535,36.16950173,377
Tony Roma's,Las Vegas,"[Steakhouses, Seafood, American (Traditional), Restaurants]",-115.1435262,36.1707639,109
Second Street Grill,Las Vegas,"[American (Traditional), American (New), Restaurants]",-115.1435262,36.1707639,38
Carson Street Cafe,Las Vegas,"[American (Traditional), Restaurants]",-115.1236725,36.16864538,63
La Bayou Casino,Las Vegas,"[Arts & Entertainment, Bars, Casinos, Cocktail Bars, Nightlife, American (New), Restaurants]",-115.145849,36.17115,44
Las Vegas Jerkys,Las Vegas,"[Food, Specialty Food, Hawaiian, Restaurants]",-115.1455,36.172231,43
Garden Court Buffet,Las Vegas,"[Buffets, Restaurants]",-115.1451099,36.17409732,271
Mamacita's Restaurant,Las Vegas,"[Cuban, Mexican, Restaurants]",-115.1390624,36.1684442,42
Piccadilly Pizza Fremont,Las Vegas,"[Pizza, Restaurants]",-115.141972,36.170125,37
Los Molcajetes,Las Vegas,"[Mexican, Restaurants]",-115.1167343,36.1879301,55
Red Shrimp Company,Las Vegas,"[Chinese, Restaurants]",-115.2245118,36.1153521,31
Tasty Island Carribean Food & Deli,Las Vegas,"[Delis, Caribbean, Restaurants]",-115.2410939,36.114987,48
Thai BBQ,Las Vegas,"[Thai, Restaurants]",-115.2243599,36.1129299,84
Capriotti's Sandwich Shop,Las Vegas,"[Sandwiches, Restaurants]",-115.209737,36.114935,78
Kung Fu Thai & Chinese Restaurant,Las Vegas,"[Thai, Vegetarian, Chinese, Restaurants]",-115.1904588,36.1261484,246
El Taco Feliz,Las Vegas,"[Mexican, Restaurants]",-115.2056,36.115074,62
McMullan's Irish Pub,Las Vegas,"[Nightlife, Breakfast & Brunch, Irish Pub, Bars, Restaurants]",-115.2044461,36.1016356,242
Pasta Mia West,Las Vegas,"[Restaurants, Italian]",-115.2015722,36.1147889,90
Golden Dragon Chinese Cuisine,Las Vegas,"[Chinese, Restaurants]",-115.2257656,36.10119446,46
Bonito Michoacan,Las Vegas,"[Mexican, Restaurants]",-115.2088623,36.1221908,224
Jackson's Bar & Grill,Las Vegas,"[Bars, American (Traditional), Nightlife, Restaurants]",-115.2235321,36.1152796,94
Chang's Hong Kong Cuisine,Las Vegas,"[Seafood, Cantonese, Dim Sum, Chinese, Restaurants]",-115.20764,36.105081,366
Thai Spice,Las Vegas,"[Food, Ethnic Food, Thai, Specialty Food, Restaurants]",-115.2009972,36.1154037,59
Metro Pizza,Las Vegas,"[Italian, Pizza, Restaurants]",-115.2097984,36.1182771,166
Ferraro's Italian Restaurant & Wine Bar,Las Vegas,"[Restaurants, Italian]",-115.151258,36.109129,341
Nora's Cuisine,Las Vegas,"[Restaurants, Pizza, Italian]",-115.223604,36.115274,525
Black Bear Diner,Las Vegas,"[Breakfast & Brunch, American (Traditional), Diners, Restaurants]",-115.2274763,36.10034571,484
Gaylord India Restaurant,Las Vegas,"[Pakistani, Indian, Restaurants]",-115.186442,36.118699,45
Loose Caboose Flamingo,Las Vegas,"[American (Traditional), Restaurants]",-115.200037,36.11494,27
Viva Mercado's,Las Vegas,"[Mexican, Restaurants]",-115.2434921,36.12484206,135
Krung Thai Restaurant,Las Vegas,"[Thai, Restaurants]",-115.207626,36.1145349,92
Sushi Factory,Las Vegas,"[Sushi Bars, Buffets, Japanese, Restaurants]",-115.226559,36.101139,101
Koji Restaurant,Las Vegas,"[Sushi Bars, Chinese, Restaurants]",-115.2024506,36.10229952,66
Salo-Salo Grill,Las Vegas,"[Filipino, Restaurants]",-115.22429,36.122985,123
Makino LV,Las Vegas,"[Sushi Bars, Japanese, Restaurants]",-115.2084588,36.11863199,269
Fatburger,Las Vegas,"[Burgers, American (Traditional), Fast Food, Restaurants]",-115.2404642,36.1140874,40
Little Buddha Restaurant & Sushi Bar,Las Vegas,"[Sushi Bars, Asian Fusion, Chinese, Restaurants]",-115.2070999,36.11097516,187
Aliz�,Las Vegas,"[French, Restaurants]",-115.1949604,36.11468469,258
Sushi 21,Las Vegas,"[Sushi Bars, Japanese, Restaurants]",-115.2087414,36.099414,165
Denny's,Las Vegas,"[Food, Coffee & Tea, American (Traditional), Diners, Restaurants]",-115.209358,36.100712,45
Four Kegs Sports Bar,Las Vegas,"[Bars, American (New), Restaurants, Sports Bars, Nightlife]",-115.2230684,36.1759097,269
Lou's Diner,Las Vegas,"[American (Traditional), Diners, Restaurants]",-115.2059198,36.1680146,29
Red Lobster,Las Vegas,"[Seafood, American (Traditional), Restaurants]",-115.2065845,36.1716799,87
Pop's Philly Steaks,Las Vegas,"[Cheesesteaks, Sandwiches, Restaurants]",-115.205674,36.166261,291
Gordon Biersch Brewery Restaurant,Las Vegas,"[Bars, Food, Breweries, Nightlife, American (New), Restaurants]",-115.1550935,36.1171943,206
Metro Pizza,Las Vegas,"[Italian, Pizza, Restaurants]",-115.16345,36.112986,51
Piero's Italian Cuisine,Las Vegas,"[Seafood, Restaurants, Italian]",-115.156035,36.1320061,139
Harrie's Bagelmania,Las Vegas,"[Food, Delis, Bagels, Restaurants]",-115.1449451,36.12141581,134
Firefly,Las Vegas,"[Tapas/Small Plates, Tapas Bars, Restaurants]",-115.1546953,36.1185522,1352
Chinois,Las Vegas,"[Asian Fusion, Chinese, Restaurants]",-115.146372,36.124423,33
Spago,Las Vegas,"[American (New), Restaurants]",-115.1734114,36.11827292,728
Valentino,Las Vegas,"[Restaurants, Italian]",-115.1701939,36.1226902,162
Canonita,Las Vegas,"[Mexican, Restaurants]",-115.1692923,36.12232381,320
Gameworks,Las Vegas,"[Arts & Entertainment, American (Traditional), Arcades, Restaurants]",-115.1723638,36.1031723,82
Los Antojos,Las Vegas,"[Mexican, Restaurants]",-115.1181364,36.1439367,46
ESPN Zone,Las Vegas,"[Bars, Arts & Entertainment, Arcades, Nightlife, Sports Bars, Restaurants]",-115.1735187,36.1030101,69
Circo,Las Vegas,"[Restaurants, Italian]",-115.177001,36.11199,200
Dragon Noodle Co.,Las Vegas,"[Chinese, Restaurants]",-115.174037,36.105289,156
Bahama Breeze,Las Vegas,"[Seafood, Bars, Caribbean, Nightlife, Restaurants]",-115.1547196,36.11512307,319
China Star,Las Vegas,"[Chinese, Restaurants]",-115.13641,36.14217661,28
Yokohama Kaigenro,Las Vegas,"[Sushi Bars, Japanese, Restaurants]",-115.1521048,36.107194,83
Battista's Hole In the Wall,Las Vegas,"[Restaurants, Italian]",-115.1679198,36.115471,475
Meskerem Ethiopian Restaurant & Market,Las Vegas,"[Ethiopian, Restaurants]",-115.160359,36.1331149,52
Cozymel's Mexican Grill,Las Vegas,"[Mexican, Restaurants]",-115.156389,36.1144434,28
Benihana,Las Vegas,"[Japanese, Restaurants]",-115.1514119,36.1362847,226
Canaletto,Las Vegas,"[Restaurants, Italian]",-115.169651,36.121176,363
Hamada of Japan,Las Vegas,"[Sushi Bars, Japanese, Restaurants]",-115.1555981,36.1149099,68
Hard Rock Caf�,Las Vegas,"[Arts & Entertainment, Music Venues, Burgers, Nightlife, American (New), Restaurants]",-115.1526346,36.1084453,118
Ellis Island Casino & Brewery,Las Vegas,"[Arts & Entertainment, American (Traditional), Food, Breweries, Casinos, Restaurants]",-115.1634847,36.1130255,1229
Gandhi India's Cuisine,Las Vegas,"[Vegetarian, Indian, Restaurants]",-115.1534885,36.1152177,146
Riviera Hotel & Casino,Las Vegas,"[Arts & Entertainment, Casinos, Event Planning & Services, Hotels & Travel, Hotels, Restaurants]",-115.1621756,36.13516356,729
NASCAR Cafe,Las Vegas,"[American (Traditional), Restaurants]",-115.156483,36.142229,54
Cheeseburger At the Oasis,Las Vegas,"[Fast Food, American (Traditional), Restaurants]",-115.146372,36.124423,40
Fatburger,Las Vegas,"[Burgers, American (Traditional), Fast Food, Restaurants]",-115.1727629,36.1050739,416
Applebee's,Las Vegas,"[Bars, American (Traditional), Burgers, Nightlife, Sports Bars, Restaurants]",-115.136364,36.129396,44
Marrakech Moroccan Restaurant,Las Vegas,"[Middle Eastern, Moroccan, Restaurants]",-115.1542695,36.1186973,234
Michael's,Las Vegas,"[Steakhouses, Seafood, American (Traditional), Restaurants]",-115.174141,36.011478,77
Harley-Davidson Las Vegas Cafe,Las Vegas,"[Burgers, American (Traditional), Barbeque, Restaurants]",-115.1725842,36.1085455,212
Chin Chin,Las Vegas,"[Sushi Bars, Asian Fusion, Chinese, Restaurants]",-115.1735161,36.1030009,224
Gallagher's Steakhouse,Las Vegas,"[Steakhouses, Restaurants]",-115.1742465,36.10251518,594
Gonzalez Y Gonzalez Restaurant,Las Vegas,"[Mexican, Restaurants]",-115.1735187,36.1030101,262
Ruth's Chris Steak House,Las Vegas,"[Steakhouses, Restaurants]",-115.146372,36.124423,74
Portofino by Chef Michael LaPlaca,Las Vegas,"[Bars, Wine Bars, Nightlife, Lounges, Italian, Restaurants]",-115.1703564,36.1240236,132
Kokomo's Steak & Seafood,Las Vegas,"[Seafood, Steakhouses, Restaurants]",-115.174042,36.12136055,143
P.F. Chang's,Las Vegas,"[Gluten-Free, Asian Fusion, Chinese, Restaurants]",-115.1542499,36.1134443,130
Yolie's Brazilian Steak House,Las Vegas,"[Steakhouses, Restaurants, Brazilian]",-115.1542695,36.1186973,73
Oyster Bay Seafood,Las Vegas,"[Seafood, Restaurants]",-115.1727107,36.1094088,111
THE Steak House at Circus Circus,Las Vegas,"[Steakhouses, Restaurants]",-115.164611,36.137041,317
Del Frisco's Double Eagle Steak House,Las Vegas,"[Steakhouses, Restaurants]",-115.1552788,36.1180678,885
Postrio,Las Vegas,"[American (New), Restaurants]",-115.1696112,36.1214517,371
India Palace,Las Vegas,"[Indian, Restaurants]",-115.151852,36.121237,421
Diamond Chinese Restaurant,Las Vegas,"[Chinese, Restaurants]",-115.1761671,36.1268574,57
Chipotle Mexican Grill,Las Vegas,"[Fast Food, Mexican, Restaurants]",-115.149765,36.12401012,74
Blue Iguana Mexican Express,Las Vegas,"[Fast Food, American (Traditional), Mexican, Restaurants]",-115.1615956,36.1374016,37
McCormick & Schmick's,Las Vegas,"[Seafood, Restaurants]",-115.157487,36.115068,145
Buca di Beppo Italian Restaurant,Las Vegas,"[Restaurants, Italian]",-115.1518743,36.1149861,168
Rainforest Cafe,Las Vegas,"[American (Traditional), Restaurants]",-115.1693962,36.1033743,391
Todai Restaurant,Las Vegas,"[Buffets, Japanese, Restaurants]",-115.1681642,36.10830805,283
California Pizza Kitchen,Las Vegas,"[American (Traditional), Pizza, Restaurants]",-115.1735621,36.127512,89
Lawry's The Prime Rib,Las Vegas,"[Steakhouses, Restaurants]",-115.1597903,36.1151617,565
Eiffel Tower Restaurant,Las Vegas,"[Steakhouses, French, Restaurants]",-115.1741893,36.11048484,888
Don Alejandro's Texan Grill,Las Vegas,"[Tex-Mex, Restaurants]",-115.1511364,36.0849963,31
The Hush Puppy,Las Vegas,"[Seafood, Comfort Food, Southern, Restaurants]",-115.06171,36.192963,30
Siam Garden,Las Vegas,"[Thai, Restaurants]",-115.093035,36.218985,48
Outback Steakhouse,Las Vegas,"[Steakhouses, Restaurants]",-115.2804847,36.1439202,78
Chili's Grill & Bar,Las Vegas,"[American (Traditional), Restaurants]",-115.2930416,36.1585425,48
Chop Chop Wok,Las Vegas,"[Chinese, Restaurants]",-115.2442251,36.2182929,89
The Original Graziano's Pizza Restaurant,Las Vegas,"[Italian, Pizza, Restaurants]",-115.274722,36.129869,69
