business_categories,city,review_count
"[American (New), Mediterranean, Restaurants]",Las Vegas,720
"[Food, Coffee & Tea, American (New), Restaurants]",Gilbert,715
"[Seafood, Caribbean, Hawaiian, Restaurants]",Phoenix,714
"[Restaurants, Italian]",Las Vegas,709
"[Tapas/Small Plates, Spanish, Restaurants]",Las Vegas,705
"[Restaurants, Italian]",Las Vegas,704
"[Nightlife, Dance Clubs]",Las Vegas,703
"[Steakhouses, Restaurants]",Las Vegas,702
"[French, Restaurants]",Las Vegas,702
"[Vegetarian, Gluten-Free, Vegan, Restaurants]",Tempe,700
"[Sushi Bars, Japanese, Restaurants]",Las Vegas,700
"[Burgers, Asian Fusion, Restaurants]",Las Vegas,696
"[Nightlife, Bars, Sandwiches, Restaurants]",Pittsburgh,695
"[Seafood, Buffets, Restaurants]",Las Vegas,693
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,685
"[Vegetarian, American (New), Salad, Restaurants]",Phoenix,679
"[Museums, Arts & Entertainment, Arcades]",Las Vegas,679
"[Burgers, Bars, American (Traditional), Nightlife, Restaurants]",Phoenix,678
"[Burgers, Breakfast & Brunch, American (Traditional), Restaurants]",Las Vegas,672
"[Bars, Nightlife, Lounges]",Las Vegas,670
"[American (New), Caribbean, Restaurants]",Las Vegas,668
"[Arts & Entertainment, Casinos, Performing Arts]",Las Vegas,663
"[Cafes, Mexican, Restaurants]",Phoenix,662
"[Bars, Breakfast & Brunch, Wine Bars, Nightlife, Italian, Restaurants]",Phoenix,659
"[Gastropubs, American (New), Restaurants]",Pittsburgh,657
"[Seafood, Sushi Bars, Restaurants]",Las Vegas,655
"[Steakhouses, Restaurants, Buffets, Brazilian]",Las Vegas,653
"[Burgers, Bars, Sushi Bars, Nightlife, Restaurants]",Phoenix,650
"[American (Traditional), Steakhouses, Seafood, Restaurants]",Las Vegas,649
"[Bars, Sushi Bars, Japanese, Nightlife, Lounges, Restaurants]",Las Vegas,649
"[British, Restaurants]",Mesa,648
"[Bars, Mexican, Nightlife, Restaurants]",Las Vegas,647
"[Mexican, Restaurants]",Las Vegas,646
"[French, Restaurants]",Montr�al,642
"[American (Traditional), Restaurants]",Las Vegas,634
"[Soul Food, Breakfast & Brunch, Southern, Restaurants]",Scottsdale,632
"[Restaurants, Italian]",Las Vegas,632
"[Bars, Nightlife, Dance Clubs]",Las Vegas,630
"[Breakfast & Brunch, Cafes, Restaurants]",Las Vegas,630
"[Delis, American (New), Sandwiches, Restaurants]",Las Vegas,627
"[Sushi Bars, Japanese, Restaurants]",Las Vegas,623
"[Bars, Breakfast & Brunch, Pubs, Nightlife, American (New), Restaurants]",Phoenix,620
"[Burgers, Bars, American (New), Nightlife, Restaurants]",Scottsdale,618
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,617
"[American (New), Cafes, Restaurants]",Las Vegas,611
"[Thai, Restaurants]",Las Vegas,608
"[Bakeries, Food, Breakfast & Brunch, Cafes, Restaurants]",Charlotte,607
"[Hotels & Travel, Event Planning & Services, Hotels]",Henderson,606
"[Casinos, Arts & Entertainment, American (Traditional), Buffets, Restaurants]",Las Vegas,605
"[Pizza, Restaurants]",Las Vegas,603
"[Mexican, Restaurants]",Phoenix,603
"[Chinese, Restaurants]",Las Vegas,603
"[Steakhouses, Restaurants]",Las Vegas,603
"[Seafood, American (New), Restaurants]",Las Vegas,597
"[French, Restaurants]",Las Vegas,597
"[Food, Grocery]",Phoenix,597
"[Steakhouses, Restaurants]",Las Vegas,594
"[Vietnamese, Restaurants]",Las Vegas,589
"[Japanese, Restaurants]",Las Vegas,586
"[Restaurants, Italian]",Las Vegas,583
"[Bars, Japanese, Asian Fusion, Nightlife, Lounges, Restaurants]",Las Vegas,581
"[Pubs, Bars, Nightlife, Irish, Restaurants]",Las Vegas,580
"[Food, Pubs, Bars, Breweries, Nightlife]",Chandler,580
"[Barbeque, Restaurants]",Gilbert,578
"[Pizza, Restaurants]",Henderson,577
"[Hawaiian, Restaurants]",Las Vegas,573
"[Ramen, Japanese, Restaurants]",Las Vegas,571
"[Restaurants, Italian]",Las Vegas,569
"[Bars, Nightlife, Dance Clubs]",Las Vegas,566
"[Shopping Centers, Shopping, Outlet Stores]",Las Vegas,566
"[Steakhouses, Restaurants]",Las Vegas,565
"[Poutineries, Restaurants]",Montr�al,563
"[Burgers, Fast Food, Restaurants]",Las Vegas,561
"[Mexican, Restaurants]",Las Vegas,560
"[Food, Breweries, American (New), Restaurants]",Phoenix,557
"[Korean, Asian Fusion, Dim Sum, Chinese, Restaurants]",Las Vegas,554
"[Chicken Wings, Barbeque, Restaurants]",Charlotte,554
"[American (Traditional), Buffets, Restaurants]",Las Vegas,554
"[Asian Fusion, Italian, Japanese, Restaurants]",Phoenix,553
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,550
"[Delis, Restaurants, Sandwiches, Italian]",Scottsdale,549
"[American (New), Restaurants]",Las Vegas,548
"[American (New), Restaurants]",Phoenix,548
"[Wine Bars, Bars, American (New), Nightlife, Restaurants]",Phoenix,546
"[Food, American (Traditional), Juice Bars & Smoothies, American (New), Restaurants]",Las Vegas,545
"[Venezuelan, Latin American, Restaurants]",Las Vegas,543
"[Greek, Restaurants]",Las Vegas,539
"[Shopping Centers, Shopping]",Las Vegas,538
"[Nightlife, Breakfast & Brunch, American (New), Bars, Restaurants]",Scottsdale,537
"[Mexican, Restaurants]",Las Vegas,535
"[American (New), Restaurants]",Scottsdale,534
"[Bars, Nightlife, French, Restaurants]",Las Vegas,532
"[Food, Desserts, Breweries]",Pittsburgh,527
"[Arts & Entertainment, Resorts, Casinos, Event Planning & Services, Hotels & Travel, Hotels]",Las Vegas,527
"[Restaurants, Pizza, Italian]",Las Vegas,525
"[American (Traditional), Diners, Restaurants]",Las Vegas,525
"[Vietnamese, Restaurants]",Las Vegas,524
"[Fashion, Shopping]",Las Vegas,524
"[Bars, Nightlife]",Las Vegas,523
"[Bars, Nightlife, Dance Clubs]",Las Vegas,521
"[Food, Beer, Wine & Spirits, Steakhouses, Japanese, Restaurants]",Las Vegas,520
"[Indian, Restaurants]",Las Vegas,518
"[Food, Coffee & Tea, American (New), Cafes, Restaurants]",Las Vegas,518
"[Breakfast & Brunch, Restaurants]",Phoenix,518
"[Arts & Entertainment, Bars, Casinos, Event Planning & Services, Lounges, Nightlife, Hotels & Travel, Hotels]",Las Vegas,516
"[Food, Breakfast & Brunch, Coffee & Tea, Sandwiches, Restaurants]",Las Vegas,515
"[Steakhouses, Bars, American (Traditional), Nightlife, Restaurants]",Scottsdale,514
"[Lounges, Bars, Nightlife, Dance Clubs]",Las Vegas,512
"[Bars, Nightlife]",Las Vegas,511
"[Arts & Entertainment, Music Venues, Restaurants, Hotels, Event Planning & Services, Hotels & Travel, American (New), Nightlife]",Las Vegas,510
"[Steakhouses, Restaurants]",Scottsdale,508
"[Steakhouses, Seafood, Restaurants, Brazilian]",Las Vegas,508
"[Burgers, Restaurants]",Las Vegas,504
"[Breakfast & Brunch, Steakhouses, American (Traditional), Restaurants]",Las Vegas,504
"[Latin American, Mexican, Restaurants]",Charlotte,504
"[American (Traditional), American (New), Cafes, Restaurants]",Las Vegas,501
"[Steakhouses, Seafood, Sushi Bars, Restaurants]",Scottsdale,500
"[Cajun/Creole, Restaurants]",Las Vegas,498
"[Wine Bars, Bars, Pizza, Nightlife, Restaurants]",Tempe,497
"[Sushi Bars, Restaurants]",Henderson,497
"[Wine Bars, Bars, Restaurants, Nightlife, Italian]",Las Vegas,496
"[Sushi Bars, Japanese, Restaurants]",Las Vegas,495
"[French, Restaurants]",Las Vegas,493
"[Burgers, Fast Food, Restaurants]",Las Vegas,493
"[Breakfast & Brunch, American (Traditional), Restaurants]",Scottsdale,492
"[American (New), Restaurants]",Las Vegas,492
"[Vegetarian, American (New), Salad, Restaurants]",Scottsdale,491
"[Steakhouses, Restaurants]",Las Vegas,489
"[Seafood, American (Traditional), Restaurants]",Las Vegas,489
"[Food, Coffee & Tea, Taiwanese, Restaurants]",Las Vegas,487
"[Breakfast & Brunch, Restaurants]",Scottsdale,487
"[Breakfast & Brunch, Restaurants]",Las Vegas,485
"[Sushi Bars, Hawaiian, Restaurants]",Las Vegas,485
"[Indian, Restaurants]",Las Vegas,485
"[Food, Specialty Food, Candy Stores, Chocolatiers & Shops]",Las Vegas,485
"[Breakfast & Brunch, American (Traditional), Diners, Restaurants]",Las Vegas,484
"[Breakfast & Brunch, Creperies, Restaurants]",Las Vegas,484
"[Bars, American (New), Nightlife, Lounges, Restaurants]",Las Vegas,484
"[Burgers, American (New), Restaurants]",Phoenix,482
"[Buffets, Restaurants]",Las Vegas,482
"[Seafood, Cajun/Creole, Restaurants]",Phoenix,481
"[Food, Tea Rooms, Coffee & Tea, Vegan, Restaurants]",Las Vegas,481
"[Arts & Entertainment, Performing Arts]",Las Vegas,480
"[American (New), Restaurants]",Tempe,480
"[Bars, Dance Clubs, Cocktail Bars, Nightlife, Lounges]",Las Vegas,476
"[Food, Donuts]",Las Vegas,476
"[Barbeque, Restaurants]",Charlotte,476
"[Sushi Bars, Japanese, Restaurants]",Las Vegas,475
"[Restaurants, Italian]",Las Vegas,475
"[Shopping, Pawn Shops]",Las Vegas,474
"[Bars, Food, Breweries, Pubs, Nightlife, American (New), Restaurants]",Madison,474
"[Bars, Seafood, Irish, Pubs, Nightlife, Restaurants]",Tempe,471
"[Breakfast & Brunch, American (Traditional), Restaurants]",Scottsdale,470
"[Pubs, Irish, Nightlife, Bars, Restaurants]",Las Vegas,469
"[Pizza, Restaurants]",Phoenix,469
"[American (Traditional), Restaurants]",Phoenix,469
"[Vegetarian, Thai, Vegan, Restaurants]",Las Vegas,468
"[Cajun/Creole, Barbeque, Restaurants]",Henderson,468
"[Korean, Asian Fusion, Hawaiian, Restaurants]",Las Vegas,467
"[Bars, Pizza, Nightlife, Lounges, Restaurants]",Phoenix,466
"[Bars, American (New), Nightlife, Restaurants]",Phoenix,466
"[Nightlife, Breakfast & Brunch, Mexican, Bars, Restaurants]",Scottsdale,465
"[French, Restaurants]",Las Vegas,464
"[Food, Ice Cream & Frozen Yogurt]",Scottsdale,464
"[American (Traditional), Fast Food, Comfort Food, Restaurants]",Las Vegas,462
"[Thai, Restaurants]",Las Vegas,461
"[Seafood, Restaurants]",Las Vegas,460
"[Tapas Bars, Restaurants, Italian]",Las Vegas,460
"[Sushi Bars, Japanese, Restaurants]",Las Vegas,460
"[Mexican, Restaurants]",Las Vegas,460
"[Bars, Burgers, Seafood, Wine Bars, Nightlife, Restaurants]",Phoenix,460
"[Food, Desserts]",Scottsdale,459
"[Dim Sum, Chinese, Restaurants]",Las Vegas,459
"[Bars, American (Traditional), Pubs, Nightlife, Lounges, Restaurants]",Phoenix,459
"[Active Life, Aquariums]",Las Vegas,459
"[Tapas/Small Plates, Tapas Bars, Restaurants]",Las Vegas,455
"[Breakfast & Brunch, Bars, American (New), Nightlife, Restaurants]",Scottsdale,455
"[Breakfast & Brunch, Sandwiches, Salad, Restaurants]",Phoenix,453
"[Dim Sum, Chinese, Restaurants]",Las Vegas,452
"[Barbeque, Restaurants]",Urbana,450
"[Chinese, Restaurants]",Las Vegas,449
"[Korean, Hot Dogs, Asian Fusion, Restaurants]",Las Vegas,449
"[Restaurants, Italian]",Las Vegas,448
"[Soul Food, Southern, Restaurants]",Charlotte,446
"[American (Traditional), Restaurants]",Las Vegas,446
"[Seafood, Cajun/Creole, Restaurants]",Las Vegas,445
"[Breakfast & Brunch, American (Traditional), Restaurants]",Las Vegas,445
"[Steakhouses, Seafood, American (New), Restaurants]",Las Vegas,444
"[Mexican, Restaurants]",Las Vegas,444
[Restaurants],Las Vegas,443
"[Steakhouses, Seafood, Restaurants, Brazilian]",Scottsdale,443
"[Food, Ice Cream & Frozen Yogurt]",Las Vegas,443
"[Pizza, Restaurants]",Las Vegas,441
"[Korean, Barbeque, Restaurants]",Las Vegas,441
"[American (New), Restaurants]",Madison,441
"[Middle Eastern, Restaurants]",Tempe,440
"[Burgers, American (New), Restaurants]",Las Vegas,438
"[Breakfast & Brunch, Vegan, Restaurants]",Phoenix,437
"[Nightlife, Dance Clubs]",Las Vegas,436
"[Arts & Entertainment, Music Venues, Parks, Nightlife, Active Life, Botanical Gardens]",Phoenix,435
"[Breakfast & Brunch, American (New), Cafes, Restaurants]",Las Vegas,434
"[Bars, American (Traditional), Cocktail Bars, Nightlife, Steakhouses, Restaurants]",Las Vegas,434
"[Food, Coffee & Tea]",Tempe,433
"[Pizza, Restaurants]",Scottsdale,433
"[Cajun/Creole, American (New), Restaurants]",Las Vegas,433
"[Thai, Vegetarian, Restaurants]",Las Vegas,431
"[Bars, Steakhouses, Nightlife, Restaurants]",Las Vegas,430
"[Buffets, Restaurants]",Las Vegas,429
"[American (Traditional), Restaurants]",Las Vegas,429
"[Burgers, American (Traditional), Restaurants]",Las Vegas,428
"[Active Life, Bars, Swimming Pools, Lounges, Nightlife]",Las Vegas,427
"[American (New), Sandwiches, Restaurants]",Scottsdale,426
"[Pubs, Bars, American (Traditional), Nightlife, Restaurants]",Las Vegas,425
"[Breakfast & Brunch, Restaurants]",Phoenix,425
"[Bars, American (Traditional), Nightlife, Lounges, Restaurants]",Scottsdale,425
"[Italian, Pizza, Restaurants]",Phoenix,424
"[Dive Bars, Bars, Arts & Entertainment, Nightlife, Music Venues]",Las Vegas,424
"[Breakfast & Brunch, American (New), Mexican, Restaurants]",Las Vegas,424
"[Seafood, Steakhouses, Restaurants]",Las Vegas,422
"[Food, Ice Cream & Frozen Yogurt, Restaurants, Italian]",Las Vegas,422
"[Indian, Restaurants]",Las Vegas,421
"[Nightlife, Vegetarian, American (New), Bars, Restaurants]",Las Vegas,421
"[Nightlife, Seafood, American (New), Bars, Restaurants]",Las Vegas,420
"[Hotels & Travel, Event Planning & Services, Hotels]",Las Vegas,420
"[Gastropubs, Restaurants]",Las Vegas,420
"[Breakfast & Brunch, Bars, Mexican, Nightlife, Restaurants]",Phoenix,420
"[Korean, Buffets, Barbeque, Restaurants]",Las Vegas,419
"[Steakhouses, Seafood, American (New), Restaurants]",Las Vegas,417
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,416
"[Burgers, American (Traditional), Fast Food, Restaurants]",Las Vegas,416
"[Arts & Entertainment, Casinos, Performing Arts]",Las Vegas,415
"[Thai, Japanese, Chinese, Restaurants]",Las Vegas,414
"[Mexican, Restaurants]",Las Vegas,413
"[American (Traditional), Sushi Bars, Japanese, Restaurants]",Las Vegas,413
"[Thai, Restaurants]",Scottsdale,411
"[Hair Salons, Beauty & Spas]",Las Vegas,409
"[Magicians, Event Planning & Services]",Las Vegas,408
"[Bars, American (Traditional), Food, Beer, Wine & Spirits, Nightlife, Restaurants]",Las Vegas,408
"[Arts & Entertainment, Casinos]",Henderson,408
"[Wine Bars, Bars, American (New), Nightlife, Restaurants]",Scottsdale,407
"[Hawaiian, Restaurants]",Las Vegas,407
"[American (New), Restaurants]",Las Vegas,405
"[Breakfast & Brunch, American (Traditional), Restaurants]",Las Vegas,405
"[Bakeries, Food, Sandwiches, Restaurants]",Las Vegas,405
"[Arts & Entertainment, Cinema]",Henderson,405
"[Mexican, Restaurants]",Phoenix,403
"[Bars, Mexican, Nightlife, Restaurants]",Las Vegas,402
"[Bars, American (Traditional), Nightlife, Restaurants]",Las Vegas,402
"[Sushi Bars, Japanese, Restaurants]",Las Vegas,401
"[Seafood, Steakhouses, American (New), Restaurants]",Las Vegas,401
"[Pizza, Italian, Sandwiches, Restaurants]",Phoenix,400
"[Sushi Bars, Japanese, Restaurants]",Las Vegas,399
"[Seafood, Mexican, Restaurants]",Las Vegas,399
"[Restaurants, Pizza, Italian]",Las Vegas,399
"[American (Traditional), Restaurants]",Pittsburgh,399
"[Breakfast & Brunch, American (New), Restaurants]",Tempe,398
"[French, Restaurants]",Las Vegas,397
"[American (New), Restaurants]",Phoenix,397
"[Tapas/Small Plates, Tapas Bars, Restaurants]",Las Vegas,396
"[Hotels & Travel, Airlines, Transportation]",Las Vegas,396
